"reference","start","end","identity"
"ref1","2483","2518","84"
"ref5","306","327","96"
"ref3","314","571","87"
"ref2","7810","7862","89"
"ref1","6738","6868","96"
"ref4","2859","2883","100"
"ref4","1394","1430","97"
"ref1","5678","5766","80"
"ref1","5388","5636","88"
"ref5","5989","6156","81"
"ref1","3102","3477","97"
"ref1","7596","7824","87"
"ref3","7974","8003","100"
"ref2","8320","8509","90"
"ref4","5784","5957","87"
"ref4","854","885","88"
"ref1","6152","6194","100"
"ref3","2826","2906","81"
"ref5","3611","3964","85"
"ref5","9886","9996","81"
"ref4","9035","9120","80"
"ref5","3571","3636","96"
"ref4","7839","8512","83"
"ref1","9202","9261","86"
"ref4","4538","5537","85"
"ref4","8776","8821","80"
"ref1","3022","3100","98"
"ref1","3841","3933","90"
"ref1","3931","4034","81"
"ref5","6408","6582","82"
"ref3","6092","6191","99"
"ref4","9698","9729","93"
"ref1","8486","8558","97"
"ref5","6460","6617","100"
"ref4","6130","6544","92"
"ref1","4070","4351","99"
"ref4","2611","2943","87"
"ref4","8607","8687","100"
"ref4","9023","9101","82"
"ref3","2711","3710","87"
"ref5","1871","2169","99"
"ref1","7246","7264","96"
"ref5","2470","2558","95"
"ref5","3948","4281","83"
"ref1","4070","4210","89"
"ref5","8413","8425","100"
"ref3","2043","2176","93"
"ref4","8032","8273","82"
"ref2","1966","1976","86"
"ref1","2951","2987","87"
"ref3","7287","7360","98"
"ref3","5651","5744","92"
"ref2","3684","3752","90"
"ref5","7965","7980","97"
"ref2","6960","6989","84"
"ref3","9143","9201","85"
"ref2","7262","7358","84"
"ref2","9437","9579","96"
"ref4","3402","3407","87"
"ref2","2009","2482","84"
"ref5","6448","6559","97"
"ref2","7276","7514","94"
"ref3","624","1061","92"
"ref2","6679","6765","89"
"ref3","9249","9409","81"
"ref1","6977","7025","89"
"ref5","1358","1519","83"
"ref4","5346","5376","92"
"ref4","1353","1898","89"
"ref5","8122","8139","91"
"ref1","4712","4730","87"
"ref3","4984","5205","95"
"ref5","7033","7054","95"
"ref1","783","825","90"
"ref1","5358","5375","80"
"ref5","3739","3756","98"
"ref3","2238","2316","91"
"ref4","6968","7229","97"
"ref2","5272","5308","92"
"ref2","3886","4262","96"
"ref5","133","245","94"
"ref2","736","1019","99"
"ref4","758","1242","82"
"ref4","4090","4164","84"
"ref1","4693","5178","95"
"ref2","307","486","100"
"ref1","7466","7537","86"
"ref1","7057","7124","82"
"ref1","542","752","98"
"ref2","3591","3706","88"
"ref1","741","768","94"
"ref3","3202","3624","92"
"ref2","6146","6156","98"
"ref5","3402","3428","97"
"ref1","7355","7359","99"
"ref2","103","814","96"
"ref3","8389","8471","99"
"ref2","7595","7620","92"
"ref5","7741","7833","83"
"ref3","6062","6109","99"
"ref5","8542","8566","100"
"ref5","4429","4661","92"
"ref2","7415","7569","85"
"ref1","583","1223","97"
"ref5","8709","8798","98"
"ref3","1889","1948","100"
"ref5","6745","7102","86"
"ref3","3956","4091","99"
"ref1","7731","8187","96"
"ref2","2499","2779","90"
"ref1","8183","8294","82"
"ref3","6714","6723","97"
"ref5","6712","6731","86"
"ref4","2174","2243","95"
"ref5","3792","3854","85"
"ref3","6358","6452","81"
"ref1","2165","2242","96"
"ref4","2808","2840","99"
"ref4","5131","5258","98"
"ref4","6927","6980","92"
"ref2","8902","9301","89"
"ref1","1388","1459","91"
"ref1","4575","4656","84"
"ref3","7517","7629","86"
"ref4","2912","3182","81"
"ref2","3272","3518","90"
"ref5","493","756","100"
"ref3","1430","1508","88"
"ref3","4639","4768","86"
"ref2","5239","5356","91"
"ref5","9652","9734","92"
"ref2","4728","4865","86"
"ref3","2449","2485","98"
"ref3","8937","8954","94"
"ref4","6781","6802","92"
"ref3","5680","5815","82"
"ref5","201","228","97"
"ref5","9538","9609","93"
"ref5","4751","4796","98"
"ref2","7875","7942","94"
"ref1","7161","7206","81"
"ref1","5926","6032","96"
"ref1","4426","4460","97"
"ref3","1936","2012","95"
"ref5","3769","3893","94"
"ref3","3839","4149","93"
"ref4","1013","2012","92"
"ref4","6605","6726","93"
"ref5","4377","4516","82"
"ref2","1323","1585","90"
"ref3","9814","9836","81"
"ref2","8016","8104","84"
"ref1","7202","7585","81"
"ref3","1047","1185","89"
"ref4","201","480","96"
"ref4","7838","8424","98"
"ref1","6002","6157","88"
"ref5","1359","2028","93"
"ref4","2312","2362","87"
"ref1","2196","2236","89"
"ref4","7693","7768","85"
"ref3","534","561","90"
"ref4","1362","1616","96"
"ref4","8484","8877","100"
"ref4","8514","8626","86"
"ref5","2976","3010","88"
"ref3","9271","9571","87"
"ref4","3566","3591","80"
"ref5","6385","6453","98"
"ref1","6621","6690","100"
"ref2","2458","2480","87"
"ref2","2247","2301","84"
"ref3","9744","9757","97"
"ref1","7283","7478","95"
"ref1","3820","3887","84"
"ref2","2786","2925","87"
"ref3","6675","6900","96"
"ref3","5121","5170","91"
"ref5","8855","8946","94"
"ref5","3145","3210","89"
"ref4","6712","6728","99"
"ref2","4754","4992","98"
"ref4","5602","6548","89"
"ref4","3281","3353","86"
"ref1","9438","9484","88"
"ref3","5003","5159","88"
"ref4","1192","1278","94"
"ref5","9565","9664","85"
"ref5","6965","7032","95"
"ref3","6315","6499","91"
"ref1","6037","6071","98"
"ref5","9881","9977","98"
"ref2","8235","8631","86"
"ref2","2105","2144","93"
"ref1","4116","4742","82"
"ref4","2401","2478","81"
