"channel","reference","start","end","identity"
"9","ref1","1453","1626","87"
"7","ref1","3859","3886","84"
"11","ref5","5395","5701","86"
"2","ref2","2388","3387","97"
"8","ref4","9616","10152","90"
"9","ref1","5262","5588","82"
"11","ref2","3420","3455","90"
"3","ref2","3659","4434","87"
"11","ref3","1792","1827","82"
"5","ref2","2889","3013","92"
"9","ref1","1492","1517","80"
"9","ref2","3004","3126","80"
"9","ref4","7616","7658","97"
"6","ref1","3768","4005","93"
"10","ref1","5956","5975","85"
"9","ref4","7632","7671","85"
"2","ref2","3960","4091","92"
"11","ref2","3006","3352","97"
"8","ref5","6165","6460","90"
"11","ref4","6688","6763","84"
"7","ref4","8887","8980","89"
"4","ref4","6815","6983","99"
"4","ref4","8812","8981","97"
"5","ref2","3008","3467","89"
"11","ref1","98","209","87"
"8","ref1","7217","7287","89"
"8","ref1","2049","2210","99"
"12","ref2","2603","3202","92"
"5","ref2","3762","4761","88"
"4","ref1","1783","1846","80"
"8","ref1","6568","6669","95"
"12","ref1","6245","6291","93"
"5","ref5","7187","7522","98"
"6","ref3","1947","2242","81"
"4","ref5","7801","8751","81"
"7","ref4","9156","9196","97"
"8","ref4","6578","6797","82"
"8","ref3","1542","1715","85"
"12","ref2","3441","3738","86"
"1","ref4","7422","7917","94"
"1","ref3","1562","1588","94"
"3","ref2","3202","3881","93"
"9","ref3","1757","1826","81"
"5","ref5","5061","5708","93"
"11","ref4","7387","7406","98"
"11","ref5","8664","8829","80"
"4","ref1","7458","7739","80"
"7","ref1","3289","3378","80"
"5","ref1","3149","3177","86"
"11","ref1","1095","1132","90"
"10","ref5","8907","9906","96"
"4","ref4","6529","6775","90"
"8","ref4","7142","8141","89"
"8","ref2","2703","2927","96"
"6","ref5","8748","9112","89"
"12","ref3","1691","1723","99"
"7","ref4","7750","8749","92"
"6","ref4","6750","7420","97"
"1","ref4","6344","6397","98"
"9","ref2","3380","3784","97"
"11","ref4","7206","7684","100"
"11","ref3","1983","2017","89"
