"channel","reference","start","end","identity"
"6","ref1","7137","7239","97"
"1","ref3","1772","1827","90"
"9","ref5","8365","8789","100"
"12","ref2","2251","2488","84"
"2","ref2","3533","4084","88"
"7","ref2","2933","3932","95"
"2","ref4","8267","8491","99"
"5","ref5","7210","7996","80"
"10","ref4","7651","7829","95"
"9","ref1","3687","3725","96"
"11","ref3","1550","1587","88"
"11","ref3","1597","1659","94"
"9","ref4","6350","6837","94"
"12","ref2","2881","3294","92"
"5","ref4","8179","8328","93"
"8","ref2","2998","3201","84"
"6","ref5","8713","8919","80"
"3","ref5","7800","8799","99"
"8","ref1","1926","1969","83"
"2","ref2","3249","3620","80"
"4","ref3","1766","1791","97"
"12","ref1","4808","4901","86"
"3","ref5","7621","7845","91"
"10","ref5","7762","8056","96"
"2","ref1","5520","5778","88"
"11","ref2","3195","3514","88"
"2","ref4","8760","8985","85"
"5","ref2","3286","3559","97"
"7","ref2","2979","3468","96"
"9","ref3","1514","1571","89"
"6","ref4","6346","6461","91"
"7","ref4","7278","7320","93"
"3","ref5","7313","8028","90"
"12","ref5","4383","5149","94"
"5","ref4","6906","7905","98"
"4","ref2","2967","3745","89"
"3","ref4","9076","9253","99"
"8","ref3","1557","1571","93"
"5","ref4","8019","8729","95"
"5","ref4","6170","6253","90"
"2","ref3","1924","1948","93"
"11","ref4","7178","7288","96"
"5","ref4","7677","7722","88"
"12","ref4","6652","6759","88"
"4","ref2","3770","4190","80"
"3","ref4","8424","8920","81"
"3","ref2","2760","3759","94"
"3","ref3","1930","1932","95"
"7","ref2","2904","3784","91"
"4","ref1","7842","8632","92"
"7","ref3","1527","1847","80"
"4","ref3","1745","1847","99"
"5","ref1","6737","6815","87"
"8","ref4","9256","9533","93"
"2","ref4","6422","7421","99"
"10","ref1","5128","5174","80"
"2","ref4","7943","8252","80"
"1","ref1","3712","3740","83"
"6","ref3","1897","2033","95"
"7","ref4","9400","9472","81"
"8","ref1","6859","7100","88"
"1","ref2","2223","2560","97"
"3","ref1","3078","3104","98"
"8","ref1","2027","2089","98"
"10","ref2","2533","2893","90"
"3","ref1","333","379","98"
"6","ref1","212","273","80"
"12","ref3","1829","1833","87"
"3","ref1","7767","7815","95"
"7","ref5","6950","7551","89"
"3","ref4","7263","7458","96"
"2","ref5","8269","8726","82"
"8","ref4","6450","6495","100"
"10","ref1","4540","5272","81"
"7","ref2","2685","3684","94"
"4","ref1","5650","5671","97"
"4","ref1","1359","1653","98"
"11","ref1","5977","6031","98"
"1","ref1","4017","4107","94"
"5","ref3","1728","1884","92"
"4","ref2","3172","3568","83"
"3","ref3","1875","1921","91"
"12","ref3","1900","1927","83"
"3","ref4","8989","9265","91"
"10","ref1","4801","4903","93"
"9","ref4","7914","7963","81"
"3","ref2","2292","2410","92"
"8","ref5","7905","8253","100"
"1","ref1","3241","3302","98"
"1","ref2","3230","3335","95"
"10","ref1","4614","4620","82"
"7","ref3","1766","1800","99"
"3","ref3","1849","1968","99"
"5","ref4","7635","7768","81"
"6","ref2","3319","3446","86"
"12","ref1","4966","5148","93"
"5","ref4","6184","7183","96"
"9","ref4","6653","7652","80"
"4","ref4","6213","6497","95"
"4","ref2","2087","2309","95"
"10","ref3","1843","1921","92"
"9","ref3","1686","1710","87"
"8","ref2","2993","3323","97"
"11","ref4","6156","6349","91"
"4","ref5","6091","6420","85"
"5","ref4","7727","8101","90"
"8","ref5","6670","7520","80"
"1","ref3","1768","1793","93"
"1","ref4","6786","6935","84"
"8","ref2","3414","3805","95"
"7","ref4","9394","9588","92"
"11","ref2","2379","2616","95"
"9","ref4","9434","10272","82"
"3","ref5","6044","6501","94"
"10","ref2","2210","2814","95"
"1","ref5","6363","6957","87"
"6","ref5","4251","5250","89"
"1","ref1","6063","6438","82"
"6","ref1","1666","2000","84"
"4","ref4","7149","7242","87"
"5","ref4","9423","9641","88"
"8","ref3","1742","1902","82"
"1","ref1","3089","3419","92"
"2","ref3","1912","2042","96"
"6","ref4","9067","9225","91"
"10","ref4","6043","6202","92"
"8","ref1","4509","4546","88"
"4","ref1","2005","2054","82"
"4","ref1","7651","7675","86"
"3","ref3","1981","2021","89"
"6","ref3","1642","1654","93"
"2","ref4","6395","6642","88"
"2","ref1","5497","5652","100"
"8","ref1","7831","8080","83"
"5","ref4","9961","10312","99"
"4","ref1","4443","4575","90"
"4","ref1","7517","7523","80"
"1","ref4","6026","6290","98"
"6","ref2","2923","3270","84"
"10","ref3","1757","1768","82"
"5","ref1","6856","6868","83"
"8","ref4","9277","9327","92"
"12","ref5","4226","5225","89"
"9","ref1","6388","6483","95"
"4","ref1","5389","5443","80"
"6","ref4","8112","8245","91"
"11","ref4","7451","7545","94"
"4","ref3","1623","1669","100"
"10","ref4","6853","7141","89"
"8","ref3","1742","1885","86"
"6","ref4","7251","7363","87"
"1","ref4","7338","7514","81"
"7","ref3","1775","1875","83"
"8","ref2","3439","3901","92"
"4","ref1","7054","7160","93"
"1","ref2","2189","2608","97"
"3","ref4","8472","8604","86"
"5","ref2","2060","2266","96"
"1","ref3","1501","1543","98"
"1","ref4","8062","8091","88"
"10","ref1","4136","4298","90"
"10","ref1","1952","2026","100"
"1","ref1","7502","7863","83"
"9","ref3","1665","1715","81"
"10","ref5","4923","5613","87"
"6","ref1","4626","4701","87"
"2","ref4","7537","7861","92"
"3","ref2","2891","3050","90"
"7","ref1","555","613","93"
"8","ref1","1668","2529","84"
"4","ref3","1884","1958","95"
"9","ref2","3801","4240","83"
"12","ref1","4207","4215","86"
"12","ref3","1830","1910","87"
"2","ref2","3959","4483","92"
"1","ref2","3178","3401","94"
"4","ref4","9616","9929","89"
"1","ref5","8005","8285","80"
"3","ref1","6216","6399","88"
"4","ref1","912","1581","96"
"12","ref1","1741","1823","98"
"9","ref1","7991","8118","82"
"2","ref2","3535","3704","83"
"3","ref4","7976","8484","86"
"5","ref1","1916","1982","92"
"11","ref1","64","242","86"
"1","ref1","5197","5304","99"
"2","ref4","6934","7160","92"
"10","ref2","2464","2546","91"
"4","ref4","8765","9764","87"
"4","ref4","7226","7389","82"
"7","ref1","2129","2183","96"
"9","ref2","3286","3701","86"
"4","ref4","6066","6301","97"
"3","ref4","6534","6578","96"
"9","ref1","6233","6286","86"
"2","ref4","8998","9255","85"
"12","ref1","6491","6583","89"
"5","ref1","4074","4429","87"
"11","ref4","6555","6865","91"
"6","ref1","2715","2863","82"
"10","ref2","2509","2627","86"
"10","ref3","1875","1890","88"
"8","ref4","7674","7739","91"
"7","ref1","164","260","90"
"4","ref1","4511","4566","80"
"9","ref1","6678","6726","90"
"11","ref2","2729","3068","86"
"5","ref5","8051","9050","96"
