"channel","reference","start","end","identity"
"1","ref4","6669","6718","100"
"4","ref1","2200","2255","96"
"6","ref4","7192","7294","97"
"12","ref1","3761","3852","87"
"3","ref3","1835","1864","95"
"8","ref4","6808","7807","88"
"4","ref3","1815","1940","86"
"4","ref5","8953","9610","99"
"4","ref1","60","93","97"
"7","ref2","2477","3476","93"
"8","ref4","6175","6287","98"
"2","ref3","1593","1599","81"
"2","ref3","1710","1756","91"
"8","ref3","1599","1621","90"
"4","ref2","2156","2499","85"
"7","ref1","4859","4926","85"
"12","ref5","6445","6615","84"
"11","ref4","7598","7903","86"
"3","ref4","7440","7626","99"
"2","ref2","3484","3562","88"
"1","ref1","1546","1583","86"
"8","ref4","7107","7298","90"
"8","ref3","1936","2018","83"
"1","ref4","7330","7483","88"
"6","ref1","4670","4713","100"
"12","ref2","2710","2887","89"
"9","ref2","2543","2698","99"
"9","ref2","2751","2949","81"
"1","ref1","230","380","98"
"5","ref1","818","904","92"
"5","ref5","7327","8181","91"
"9","ref2","3205","3404","93"
"9","ref2","3538","3734","84"
"6","ref2","2211","3110","100"
"1","ref1","5314","5338","81"
"12","ref4","6698","7626","90"
"3","ref3","1541","1629","80"
"2","ref3","1514","1699","90"
"11","ref4","7541","7633","100"
"5","ref1","444","867","89"
"9","ref3","1808","1811","88"
"11","ref1","238","324","92"
"1","ref4","9635","9666","82"
"6","ref1","3690","3799","81"
"10","ref2","3863","4817","82"
"5","ref3","1837","1873","81"
"2","ref3","1622","1669","89"
"6","ref3","1898","2733","86"
"1","ref3","1971","2094","87"
"12","ref1","7036","7151","83"
"11","ref1","465","558","91"
"11","ref1","1952","2951","80"
"6","ref3","1936","2045","98"
"7","ref3","1573","1648","92"
"4","ref2","2915","3217","98"
"12","ref5","4614","4834","80"
"8","ref2","2324","2458","90"
"11","ref1","1500","1615","83"
"7","ref3","1750","1851","83"
"1","ref1","2304","2323","95"
"7","ref1","4696","4750","85"
"3","ref4","7012","7092","85"
"10","ref5","4288","5287","83"
"4","ref3","1700","1814","83"
"12","ref2","2472","2685","87"
"1","ref2","3953","4177","89"
"8","ref1","1445","1465","92"
"5","ref2","3885","4141","89"
"7","ref4","6901","6990","90"
"8","ref1","4821","4900","86"
"1","ref4","7764","7800","84"
"10","ref4","8635","9187","85"
"3","ref3","1982","1999","82"
"10","ref1","2544","2829","83"
"8","ref3","1903","1963","95"
"8","ref3","1825","1870","90"
"11","ref2","2879","3878","95"
"8","ref1","1739","1916","98"
"10","ref2","2246","2488","88"
"9","ref4","6390","6396","87"
"3","ref1","345","707","81"
"5","ref1","585","674","97"
"12","ref3","1875","2027","85"
"1","ref3","1795","1885","98"
"7","ref4","7349","7440","91"
"6","ref5","5340","5742","99"
"3","ref3","1794","1896","93"
"3","ref5","8400","8701","97"
"11","ref4","7607","8359","87"
"7","ref2","2180","2318","88"
"12","ref3","1544","1579","82"
"11","ref1","1785","2257","98"
"2","ref3","1792","1880","98"
"12","ref2","3086","3171","84"
"12","ref1","314","341","98"
"9","ref4","8074","8259","92"
"12","ref1","1285","1328","100"
"4","ref1","5500","5747","83"
"8","ref1","1339","1734","82"
"8","ref2","2540","3172","81"
"8","ref5","6666","6944","95"
"1","ref1","6092","6124","92"
"2","ref1","2296","2409","94"
"10","ref2","2395","3394","81"
"1","ref2","2950","3416","95"
"8","ref4","9762","10761","80"
"7","ref3","1698","1847","94"
"4","ref1","7932","8018","97"
"11","ref3","1547","1690","83"
"7","ref2","3453","3742","92"
"8","ref3","1812","1988","80"
"3","ref1","2675","2799","84"
"11","ref3","1699","1701","89"
"2","ref3","1790","1811","82"
"8","ref3","1965","2030","98"
"3","ref1","6919","7080","94"
"3","ref4","7492","8491","99"
"12","ref3","1646","1834","83"
"2","ref1","3494","4106","96"
"12","ref2","3369","3734","95"
"10","ref4","9376","9759","96"
"12","ref4","9829","9885","87"
"11","ref4","6640","6894","97"
"6","ref2","2030","2268","86"
"6","ref1","7327","7403","97"
"10","ref1","484","545","82"
"7","ref2","3415","3760","93"
"1","ref4","7986","8427","83"
"1","ref4","9243","9982","95"
"11","ref1","1581","2580","86"
"3","ref1","6248","6416","96"
"7","ref4","7437","7731","91"
"11","ref3","1610","1629","86"
"11","ref1","7451","7483","99"
"5","ref2","3751","4082","98"
"6","ref3","1862","1915","85"
"9","ref5","8373","8733","98"
"5","ref1","3539","3603","100"
"10","ref3","1542","1632","81"
"11","ref4","8264","8362","89"
"6","ref5","5705","6388","84"
"10","ref5","5024","5524","93"
"10","ref5","7800","8136","84"
"2","ref2","2666","2728","85"
"12","ref1","1767","1801","82"
"10","ref1","7151","7171","87"
"10","ref4","8009","8133","81"
"11","ref3","1977","2004","90"
"4","ref3","1845","1881","87"
"2","ref3","1950","2200","94"
"6","ref2","3762","3899","91"
"9","ref5","8153","8559","81"
"12","ref2","3045","3328","100"
"11","ref1","160","238","95"
"5","ref3","1965","1987","80"
"4","ref2","3005","4004","82"
"8","ref4","9101","9581","97"
"8","ref4","9629","9837","99"
"12","ref1","1336","1367","87"
"7","ref1","1458","1660","95"
"5","ref4","9276","9565","95"
"8","ref3","1779","1860","89"
"8","ref5","6519","7058","92"
"12","ref4","6535","6596","99"
"7","ref4","9835","9871","94"
"3","ref2","3185","3299","90"
"10","ref4","8409","9408","91"
"5","ref4","8706","8741","97"
"3","ref5","8524","8749","94"
"6","ref2","3933","3982","86"
"5","ref2","3151","3258","86"
"8","ref4","6006","6942","85"
"6","ref2","2189","2276","80"
"12","ref4","7287","7516","82"
"9","ref4","8937","9051","87"
"7","ref4","9446","9680","91"
"1","ref1","3920","3934","90"
"10","ref1","5933","6021","89"
"7","ref2","3421","3960","93"
"5","ref1","3932","3953","92"
"9","ref4","6978","7049","88"
"12","ref4","9484","9551","85"
"1","ref1","3308","3495","81"
"12","ref1","6347","6468","97"
"5","ref1","1692","1703","90"
"1","ref1","3024","3073","83"
"9","ref1","457","601","85"
"3","ref1","6021","6158","95"
"5","ref3","1501","1537","81"
"10","ref1","3867","4114","95"
"1","ref2","3435","3571","91"
"8","ref1","521","556","81"
"10","ref3","1910","1937","93"
"3","ref4","9811","10138","86"
"5","ref4","6538","7537","80"
"7","ref1","2195","2353","89"
"4","ref3","1825","1876","91"
"6","ref5","5527","5967","88"
"12","ref2","3623","3682","80"
"4","ref4","7484","8008","92"
"2","ref1","221","422","89"
"12","ref3","1627","1632","87"
"3","ref4","6720","6915","87"
"2","ref1","6925","6997","97"
"2","ref1","4128","4275","94"
"4","ref1","5921","5953","98"
"9","ref3","1927","1952","84"
"2","ref3","1873","2095","94"
"9","ref4","6763","7762","95"
"10","ref1","6580","6604","90"
"1","ref1","7830","7946","89"
"5","ref5","8916","9915","96"
"4","ref2","3029","3084","99"
"4","ref2","3038","3214","92"
"8","ref4","7893","8002","83"
"10","ref2","2925","3067","85"
"4","ref2","2654","2953","82"
"5","ref1","878","1080","80"
"1","ref3","1847","1853","87"
"12","ref5","7150","7204","96"
"3","ref2","2987","3811","95"
"7","ref5","4256","5255","96"
"10","ref4","7761","7928","81"
"6","ref1","4592","4617","97"
"4","ref4","6551","6868","88"
"2","ref1","5083","5131","84"
"3","ref4","8963","9256","80"
"12","ref3","1615","1621","94"
"11","ref5","8937","9360","81"
"6","ref1","6026","6267","92"
"6","ref4","9099","9417","81"
"7","ref1","5721","5993","92"
"7","ref4","7655","7888","95"
"4","ref3","2000","2064","93"
"1","ref3","1678","1755","88"
"8","ref2","3996","4237","85"
"6","ref4","9272","9613","88"
"11","ref1","3300","4061","94"
"2","ref1","96","315","98"
"3","ref4","9671","9794","91"
"10","ref3","1799","1809","86"
"8","ref1","692","711","82"
"3","ref4","8995","9216","90"
"9","ref1","6472","6626","95"
"6","ref1","2017","2203","98"
"8","ref2","2998","3432","90"
"12","ref1","157","358","95"
"4","ref3","1723","1743","84"
"7","ref1","6518","7512","96"
"8","ref1","5930","5966","99"
"8","ref1","2176","2237","87"
"4","ref4","6183","6373","93"
"8","ref3","1842","1924","88"
"2","ref1","5549","5713","96"
"3","ref1","790","835","98"
"6","ref4","8608","8785","85"
"7","ref2","3686","3866","80"
"1","ref1","6624","6757","81"
"1","ref4","9342","9390","83"
"5","ref5","7694","7897","83"
"2","ref3","1670","1744","91"
"4","ref1","2692","2904","93"
"9","ref1","1504","1579","92"
"11","ref1","7520","7569","94"
"12","ref5","7586","7889","90"
"12","ref4","7787","8006","84"
"3","ref1","4389","4485","98"
