"channel","reference","start","end","identity"
"1","KC242793|1Eko|Gabon|1996","1255","1745","0.7984934086629002"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10287","10570","0.9333333333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7787","0.9408033826638478"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3292","3766","0.9096509240246407"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7330","7798","0.9351464435146444"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.9461077844311377"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7189","7399","0.9719626168224299"
"2","KC242792|Gabon|Gabon|1994","10493","10949","0.9544468546637744"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","2894","3360","0.8336755646817249"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","4082","4577","0.8513513513513513"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","1251","1744","0.924"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7328","7779","0.9478260869565217"
"2","KC242792|Gabon|Gabon|1994","879","1341","0.7938144329896907"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7328","7786","0.8605150214592274"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4226","4587","0.9616438356164384"
"1","KC242798|1Ikot|Gabon|1996","14917","15063","0.94"
"1","KC242798|1Ikot|Gabon|1996","16097","16529","0.791578947368421"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3695","4169","0.9205702647657841"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.9282786885245902"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","435","929","0.8970873786407767"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1260","1752","0.7924901185770751"
"1","KC242798|1Ikot|Gabon|1996","869","1349","0.8977505112474438"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9292","9787","0.950199203187251"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.9457831325301205"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16117","16562","0.9151785714285714"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10490","10967","0.8918367346938776"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16501","16971","0.9397089397089398"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4887","5779","0.8992416034669556"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","18440","18909","0.9243697478991597"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1349","0.8895463510848126"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1349","0.882"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4505","4970","0.9135021097046413"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12853","13341","0.9441117764471058"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4872","5363","0.9198396793587175"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15290","15767","0.9218106995884774"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1252","1750","0.8864970645792564"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5351","0.9173387096774194"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8894","9366","0.8891129032258065"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16490","16971","0.9011857707509882"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1337","0.9591002044989775"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16095","16578","0.8545454545454545"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","878","1349","0.7759336099585062"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1251","1752","0.873046875"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5294","5779","0.9178356713426854"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9280","9785","0.9344894026974951"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1349","0.9398797595190381"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13676","14156","0.9322381930184805"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3420","3783","0.862796833773087"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5354","0.924643584521385"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4587","0.9"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11656","12134","0.926530612244898"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11770","12131","0.8787061994609164"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8907","9355","0.8650442477876106"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5297","5779","0.9127789046653144"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","6998","0.9151138716356108"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1349","0.8924302788844621"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11665","12145","0.7755511022044088"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","6998","0.9109730848861284"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5280","5779","0.8793774319066148"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5292","5559","0.8079710144927537"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","865","1349","0.8943089430894309"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13692","14147","0.9057815845824411"
"3","KC242784|9_Luebo|DRC|2007","8661","8993","0.8809523809523809"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","873","1340","0.9026915113871635"
"3","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5311","0.8728070175438597"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13678","14147","0.9351464435146444"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16111","16573","0.9382978723404255"
"3","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5768","0.9433198380566802"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","873","1349","0.9044715447154471"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16095","16567","0.8969072164948454"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12145","0.9158512720156555"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5400","5760","0.8940217391304348"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11660","12121","0.9464668094218416"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8561","8985","0.8382022471910112"
"3","KM519951|Boende-Lokolia|DRC|2014","3289","3791","0.923828125"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12852","13324","0.9243697478991597"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10499","10963","0.9257731958762887"
"3","KC242784|9_Luebo|DRC|2007","13153","13307","0.8980891719745223"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6535","7008","0.9458333333333333"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5280","5772","0.8167641325536062"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10503","10967","0.9229166666666667"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8529","8979","0.8833693304535637"
"3","KC242792|Gabon|Gabon|1994","435","919","0.9327902240325866"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10503","10967","0.9389473684210526"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13680","14155","0.8849206349206349"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9119373776908023"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4882","5366","0.9065606361829026"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10503","10965","0.9275053304904051"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9346","0.8583509513742071"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1349","0.9314516129032258"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7793","0.780040733197556"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1347","0.9133064516129032"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","887","0.9106753812636166"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4876","5350","0.9175257731958762"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5776","0.9441117764471058"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6997","0.9216494845360824"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17726","18178","0.9075268817204301"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5294","5779","0.9118236472945892"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1753","0.9027237354085603"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.9008097165991903"
