"channel","reference","start","end","identity"
"8","ref4","9557","9598","93"
"10","ref5","8424","8585","97"
"11","ref1","5354","5748","95"
"6","ref4","6206","6522","84"
"6","ref4","9786","9888","82"
"3","ref2","2914","2969","95"
"6","ref3","1668","1721","87"
"12","ref1","6893","7014","98"
"11","ref2","2258","2465","91"
"4","ref3","1712","1725","97"
"12","ref3","1781","1797","97"
"7","ref5","4784","5149","90"
"9","ref1","2155","2215","98"
"12","ref4","8597","8765","93"
"1","ref5","8136","8980","86"
"10","ref4","9493","9548","98"
"2","ref4","9522","9666","86"
"12","ref2","3437","3866","89"
"7","ref3","1806","1860","99"
"4","ref1","4868","4927","93"
"3","ref1","706","875","96"
"7","ref2","3741","4124","93"
"10","ref5","8757","8987","80"
"2","ref2","3894","4733","93"
"1","ref5","6634","7517","100"
"7","ref1","3710","3787","85"
"11","ref3","1639","1709","97"
"7","ref1","175","259","99"
"11","ref2","2189","2729","84"
"2","ref4","6719","7170","85"
"5","ref1","770","1296","92"
"11","ref2","3184","3223","97"
"8","ref2","2459","2690","80"
"1","ref4","7647","7707","88"
"1","ref1","814","843","93"
"11","ref2","2795","3038","84"
"2","ref3","1752","1769","90"
"11","ref1","1828","1937","80"
"3","ref2","2886","2922","84"
"12","ref5","7580","8240","96"
"11","ref4","9305","9505","99"
"1","ref3","1808","1828","89"
"3","ref5","5955","6853","83"
"8","ref4","9347","9732","97"
"8","ref3","1908","1939","83"
"2","ref1","3697","3747","99"
"4","ref1","1962","2051","82"
"7","ref3","1539","1553","94"
"5","ref1","2910","2946","100"
"6","ref1","1954","1965","90"
"4","ref5","6922","7921","93"
"4","ref1","1852","2038","95"
"10","ref3","1783","1923","93"
"7","ref4","6168","6218","94"
"6","ref4","8063","8127","83"
"5","ref4","6946","7178","100"
"3","ref4","9860","9897","80"
"1","ref1","2904","2952","82"
"2","ref2","3798","4578","86"
"10","ref3","1627","1889","86"
"12","ref4","9032","9281","93"
"5","ref1","5404","5633","93"
"8","ref5","7263","7540","84"
"3","ref3","1947","2005","87"
"8","ref3","1516","1535","93"
"1","ref5","5603","5726","88"
"3","ref1","758","1035","100"
"10","ref5","8983","9622","80"
"11","ref5","7653","7759","92"
"1","ref5","4416","5023","95"
"2","ref1","215","267","89"
"3","ref2","3905","4007","91"
"7","ref4","8847","9007","99"
"9","ref4","8481","8836","99"
"4","ref2","2075","3074","91"
"7","ref3","1748","1828","91"
"10","ref2","3295","3356","82"
"8","ref1","6339","6836","83"
"1","ref2","2452","2652","89"
"1","ref1","6617","6697","85"
"8","ref1","1518","1523","88"
"12","ref1","5541","5627","83"
"6","ref2","3285","4284","87"
"2","ref3","1500","1775","90"
"4","ref2","2090","2448","93"
"10","ref3","1604","1677","93"
"12","ref4","9732","9859","94"
"10","ref1","5165","5362","80"
"11","ref3","1701","1750","82"
"6","ref1","1758","2372","86"
"1","ref2","3535","3590","90"
"4","ref1","5965","5993","86"
"7","ref5","5405","6308","100"
"2","ref1","198","230","89"
"11","ref1","397","444","94"
"7","ref2","2461","3460","94"
"10","ref4","6331","6430","99"
"7","ref2","3913","4624","94"
"4","ref3","1854","1868","93"
"9","ref3","1553","1602","91"
"9","ref2","2262","3238","94"
"9","ref1","561","755","90"
"2","ref4","7049","7332","97"
"6","ref1","6340","6467","95"
"10","ref3","1746","1754","82"
"1","ref2","3385","4258","87"
"4","ref1","1619","1727","84"
"12","ref5","5745","5970","88"
"2","ref4","7981","8178","99"
"10","ref2","3546","3577","87"
"6","ref4","9625","9796","94"
"5","ref1","1835","1857","89"
"11","ref1","1167","1265","95"
"5","ref4","8095","8209","80"
"5","ref3","1622","1713","85"
"9","ref2","3593","4442","91"
"2","ref4","7724","7790","100"
"5","ref1","2041","2090","92"
"4","ref1","1427","1502","94"
"8","ref1","2978","3555","91"
"8","ref5","8713","9165","93"
