"channel","reference","start","end","identity"
"12","ref3","1622","1658","98"
"4","ref1","6583","6609","91"
"2","ref1","4096","4183","84"
"6","ref1","7845","7952","84"
"4","ref2","3219","3724","91"
"9","ref4","9237","9373","95"
"11","ref2","3203","3544","97"
"8","ref4","7952","8160","80"
"11","ref2","3617","3700","84"
"10","ref3","1892","1988","90"
"8","ref1","6581","6778","92"
"6","ref5","7191","8177","99"
"6","ref1","7604","7723","80"
"6","ref5","8739","8903","89"
"12","ref2","3635","3720","81"
"2","ref2","2449","2625","92"
"7","ref1","5033","5361","93"
"3","ref2","2029","2552","85"
"12","ref5","8385","9342","92"
"9","ref4","7825","7999","86"
"7","ref4","8808","9061","80"
"11","ref1","5467","5541","87"
"7","ref5","7593","8180","87"
"7","ref2","2463","2928","83"
"7","ref4","7408","7656","99"
"3","ref1","3965","3998","81"
"8","ref2","2062","2388","88"
"2","ref2","3361","3414","100"
"5","ref1","7710","8070","88"
"1","ref1","1992","2027","87"
"5","ref5","7323","7829","88"
"10","ref2","2174","2296","87"
"11","ref2","2123","2249","83"
"12","ref1","5385","5452","82"
"1","ref5","6901","7900","96"
"8","ref2","3747","3814","96"
"4","ref2","3706","4538","90"
"10","ref1","2339","2408","93"
"8","ref1","4612","4829","98"
"9","ref1","1508","1650","97"
"2","ref1","5133","5278","86"
"11","ref4","8784","8842","84"
"2","ref1","86","92","82"
"7","ref2","3070","4069","93"
"1","ref1","1643","1715","94"
"11","ref1","3980","4064","99"
"9","ref3","1548","1577","92"
"10","ref2","3208","3337","80"
"12","ref4","9558","10557","80"
"3","ref4","9754","9815","82"
"7","ref5","6238","7237","81"
"5","ref1","887","1030","86"
"7","ref5","7372","7462","89"
"7","ref3","1948","2006","82"
"10","ref1","3785","3877","98"
"6","ref4","9248","9313","85"
"3","ref2","3841","4535","83"
"12","ref4","7727","8726","100"
"1","ref3","1682","1716","80"
"1","ref3","1896","1922","99"
"7","ref5","7954","8150","100"
"3","ref2","2064","2847","94"
"7","ref5","5217","6216","85"
"2","ref1","5969","6397","88"
"5","ref1","5971","6018","87"
"9","ref4","6028","6414","86"
"2","ref3","1632","1747","93"
"4","ref2","3696","4695","99"
"11","ref4","9881","10880","95"
"2","ref2","3916","4669","88"
"2","ref2","3735","4265","86"
"5","ref2","3159","3885","84"
"6","ref4","6313","6517","82"
"8","ref3","1868","1906","90"
"10","ref4","6412","6630","82"
"5","ref1","304","366","80"
"4","ref2","3409","3586","100"
"2","ref1","7870","7954","100"
"2","ref4","6012","6115","91"
"5","ref2","3067","3268","91"
"7","ref2","2959","3160","91"
"6","ref3","1911","1937","82"
"2","ref1","4836","4994","89"
"6","ref2","2493","2752","99"
"11","ref5","6862","7861","98"
"4","ref4","6846","6960","99"
"7","ref5","4116","4380","95"
"12","ref5","6999","7330","91"
"6","ref4","7854","7932","82"
"8","ref1","1373","1610","99"
"11","ref2","3350","4210","88"
"8","ref1","2371","2413","95"
"8","ref1","7570","7664","95"
"10","ref3","1991","2047","85"
"2","ref4","7574","7898","94"
"10","ref3","1662","1857","83"
"8","ref3","1894","1975","93"
"11","ref1","236","383","86"
"6","ref2","2924","3923","88"
"6","ref1","7301","7361","86"
"1","ref1","6236","6507","87"
"6","ref5","4402","4507","91"
"7","ref2","3640","3844","93"
"3","ref4","8655","9041","93"
"3","ref3","1854","1928","89"
"2","ref4","8759","9663","85"
"7","ref1","3362","3790","83"
"11","ref4","9077","9170","88"
"3","ref1","4527","4577","87"
"5","ref4","6125","6271","86"
"3","ref3","1699","1706","85"
"9","ref3","1823","1841","97"
"11","ref3","1592","1600","92"
"5","ref2","2746","2842","90"
"10","ref1","1727","1859","93"
"11","ref5","6167","7166","88"
"4","ref1","4660","4761","98"
"10","ref1","2727","2782","84"
"5","ref1","2418","2537","95"
"10","ref1","729","817","95"
"10","ref2","3816","4260","85"
"6","ref3","1739","1769","95"
"1","ref2","3042","3129","98"
"6","ref2","2474","2718","81"
"7","ref5","5020","5129","100"
"12","ref2","3268","3486","92"
"3","ref1","1701","1871","100"
"7","ref3","1950","1961","88"
"4","ref2","2913","3245","91"
"1","ref2","2178","2745","90"
"5","ref4","7252","7425","97"
"7","ref5","8196","8664","84"
"2","ref2","3636","3987","94"
"11","ref1","7491","7698","80"
"11","ref3","1670","1822","88"
"3","ref4","9162","9368","89"
"5","ref3","1874","1920","87"
"1","ref4","7225","8224","82"
"1","ref5","4298","4463","98"
"7","ref3","1568","1708","96"
"2","ref2","3671","3921","99"
"9","ref1","396","459","84"
"3","ref3","1731","1842","100"
"3","ref5","6910","7359","85"
"11","ref4","7267","7357","91"
"3","ref5","8312","8544","90"
"6","ref4","7670","7992","93"
"4","ref4","9828","10440","87"
"11","ref1","6112","6191","83"
"9","ref4","6483","6889","96"
"10","ref3","1736","1739","94"
"2","ref1","7906","8204","92"
"4","ref4","7478","7774","82"
"8","ref5","5445","6228","99"
"4","ref1","781","1120","99"
"11","ref2","2798","3797","96"
"10","ref1","4175","4636","81"
"7","ref1","3421","3443","95"
"6","ref1","1613","1827","83"
"4","ref5","4985","5984","81"
"8","ref2","3880","3925","100"
"6","ref1","4955","5197","92"
"9","ref2","2536","3232","96"
"12","ref1","5225","5515","96"
"1","ref3","1701","1713","81"
"5","ref1","7224","7428","91"
"4","ref1","3535","3646","95"
"4","ref3","1975","1984","97"
"9","ref4","7193","8033","97"
"6","ref1","5806","5843","95"
"8","ref3","1754","1808","88"
"3","ref4","9035","9289","91"
"7","ref4","8315","8630","87"
"1","ref2","3187","3680","97"
"1","ref2","3149","4148","98"
"2","ref4","7290","7700","98"
"12","ref1","3072","3114","81"
"7","ref1","1574","1694","89"
"7","ref1","6861","6972","93"
"9","ref1","174","206","94"
"12","ref5","7690","8689","98"
"4","ref1","4174","4239","94"
"10","ref5","5397","5602","89"
"8","ref4","7629","7697","93"
"7","ref2","3779","4557","94"
"2","ref3","1961","1982","83"
"2","ref4","8820","9006","96"
"7","ref3","1970","2002","82"
"6","ref1","3804","4092","83"
"2","ref3","1808","1885","100"
"4","ref4","6474","7001","90"
"12","ref3","1640","1699","94"
"3","ref1","6869","6958","80"
"7","ref4","8862","9622","88"
"6","ref4","6457","6688","83"
"7","ref4","6631","6726","87"
"6","ref4","6015","6108","88"
"7","ref3","1680","1815","95"
"2","ref1","700","711","81"
"7","ref2","3482","3884","86"
"11","ref5","4876","5875","82"
"4","ref2","2472","3471","80"
"11","ref1","3674","3843","100"
"2","ref2","3122","3245","86"
"2","ref1","7849","7941","83"
"11","ref3","1552","1596","87"
"11","ref2","3610","3723","88"
"6","ref1","2406","2690","96"
"11","ref2","3145","3808","92"
"4","ref1","4535","4973","100"
"1","ref3","1858","1946","87"
"12","ref2","2869","3477","97"
"3","ref2","2748","3092","100"
"8","ref1","4904","5379","99"
"4","ref4","6459","6508","80"
"2","ref2","3817","3884","87"
"3","ref1","3386","3463","99"
"8","ref1","181","410","93"
"5","ref1","5052","5073","87"
"2","ref1","2119","2227","98"
"8","ref3","1513","1605","80"
"8","ref5","6847","7846","85"
"6","ref2","3824","3986","82"
"3","ref1","6273","6627","100"
"4","ref3","1663","1900","84"
"4","ref1","4134","4182","96"
"2","ref1","7795","8006","83"
"7","ref3","1668","1692","100"
"6","ref3","1945","1978","92"
"1","ref1","3240","3459","99"
"12","ref3","1829","1867","96"
"9","ref1","2369","2394","88"
"10","ref2","2696","3342","100"
"7","ref2","3579","3651","87"
"4","ref3","1518","1558","98"
"11","ref4","8287","8685","92"
"9","ref4","8050","8135","86"
"4","ref1","6370","6498","95"
"2","ref1","5457","5763","97"
"1","ref3","1631","1656","93"
