"channel","reference","start","end","identity"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13680","14156","0.8739837398373984"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2153","0.8696581196581197"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3697","4158","0.9549356223175965"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7336","7798","0.9264705882352942"
"1","KC242798|1Ikot|Gabon|1996","759","927","0.9069767441860465"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7798","0.9020833333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3294","3779","0.8942115768463074"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2155","0.8781512605042017"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","873","1349","0.8952772073921971"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6998","0.9111570247933884"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15290","15760","0.8386454183266933"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4087","4588","0.9388560157790927"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1690","2166","0.9686847599164927"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6992","0.8963414634146342"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4505","4969","0.8153526970954357"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1699","2161","0.930379746835443"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15288","15768","0.9205702647657841"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2500","2986","0.9321357285429142"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9355","0.92"
"1","KC242800|Ilembe|Gabon|2002","873","1349","0.9235537190082644"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3707","4169","0.9397849462365592"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9355","0.9334719334719335"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14088","14566","0.8712273641851107"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16892","17367","0.9322381930184805"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9525773195876288"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4886","5355","0.8218029350104822"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7327","7784","0.902127659574468"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14085","14566","0.9435483870967742"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6997","0.9154639175257732"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2064","2580","0.9429657794676806"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1689","2149","0.897489539748954"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9103053435114504"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14102","14566","0.8923395445134575"
"1","KC242792|Gabon|Gabon|1994","8515","8981","0.9045643153526971"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4587","0.9367816091954023"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3289","4121","0.9406880189798339"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","871","1349","0.9216494845360824"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4887","5366","0.8884381338742393"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16109","16578","0.9246861924686193"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9770","0.8694817658349329"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2510","2985","0.9404517453798767"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","914","0.9331983805668016"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8523","8983","0.9092827004219409"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1287","0.8815489749430524"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10489","10957","0.9195876288659793"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.958"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7787","0.9294871794871795"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12132","0.896551724137931"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4588","0.8806818181818182"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4877","5350","0.8898128898128899"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","903","0.9072164948453608"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9573643410852714"
