"channel","reference","start","end","identity"
"10","ref2","2397","3366","81"
"1","ref4","7564","8563","86"
"12","ref4","8921","9205","95"
"12","ref2","2001","2971","97"
"9","ref4","8956","9211","98"
"3","ref3","1778","1794","95"
"6","ref2","3868","4061","98"
"5","ref1","566","1030","87"
"9","ref5","4902","5645","98"
"3","ref4","8144","8231","89"
"12","ref1","1165","1631","89"
"9","ref4","6761","6864","89"
"5","ref1","241","292","88"
"2","ref3","1622","1660","91"
"10","ref1","386","658","100"
"5","ref4","8519","8597","98"
"7","ref1","1633","1699","82"
"5","ref4","9880","9990","84"
"5","ref3","1855","2087","97"
"5","ref4","7941","8077","88"
"2","ref1","6475","6549","82"
"12","ref2","2832","3185","98"
"8","ref4","8704","8818","80"
"1","ref3","1795","1853","90"
"2","ref1","1066","1248","83"
"9","ref3","1902","1906","99"
"11","ref5","8473","9472","93"
"4","ref2","3786","4444","82"
"4","ref4","6082","6178","95"
"3","ref2","3352","3623","86"
"8","ref1","5879","6277","87"
"7","ref5","5936","6278","96"
"2","ref2","3606","4605","83"
"9","ref1","896","938","84"
"10","ref2","2883","3065","82"
"5","ref4","6644","6738","85"
"5","ref4","7523","7888","100"
"3","ref2","2767","3027","95"
"12","ref4","7002","8001","90"
"12","ref1","5881","5897","95"
"10","ref3","1842","1879","86"
"3","ref1","5445","5581","93"
"9","ref1","5455","5687","89"
"9","ref3","1860","1896","88"
"5","ref2","3467","3646","90"
"11","ref1","6962","7002","85"
"12","ref1","7406","7686","83"
"4","ref1","1879","1929","100"
"8","ref1","5764","5819","86"
"4","ref1","1637","1759","84"
"7","ref5","4991","5539","86"
"9","ref2","3856","4149","90"
"5","ref4","7123","7439","86"
"9","ref2","3468","4029","80"
"3","ref2","2881","2998","82"
"10","ref5","7687","7746","90"
"5","ref2","2702","2804","82"
"10","ref4","7773","8093","100"
"10","ref4","7527","7628","81"
"3","ref4","9527","9613","93"
"7","ref4","9206","9925","92"
"10","ref1","816","855","89"
"1","ref5","7233","7381","100"
"8","ref2","3506","4250","85"
"4","ref4","6442","6626","83"
"9","ref4","9651","9708","96"
"1","ref1","3807","3862","85"
"11","ref4","7182","7486","91"
"7","ref3","1572","1620","92"
"7","ref5","7563","7838","81"
"11","ref5","4432","4594","85"
"5","ref3","1629","1645","85"
"3","ref1","6873","6909","82"
"10","ref3","1901","2200","83"
"6","ref1","4188","4267","89"
"5","ref5","7997","8431","91"
"1","ref1","3798","3834","84"
"9","ref2","3607","4449","93"
"7","ref4","7273","7381","96"
"7","ref1","4660","4692","98"
"10","ref4","9989","10110","98"
"6","ref5","8442","9441","98"
"10","ref1","4713","5020","88"
"6","ref1","4171","4373","89"
"10","ref3","1710","1771","90"
"9","ref4","8521","9361","85"
"2","ref1","1263","1332","84"
"7","ref1","7949","8072","97"
"2","ref3","1810","1902","100"
"12","ref5","4245","4406","92"
"4","ref4","9680","9841","93"
"5","ref4","9329","9464","83"
"1","ref2","3641","4042","84"
"6","ref3","1563","1707","89"
"8","ref1","6691","6844","89"
"10","ref3","1721","1830","100"
"1","ref1","2192","2293","100"
"5","ref3","1995","2015","95"
"8","ref4","8582","9335","94"
"11","ref1","212","857","85"
"12","ref3","1948","1973","89"
"8","ref2","3550","3828","81"
"1","ref4","8760","8924","91"
"7","ref3","1560","1600","86"
"3","ref4","8412","8798","81"
"1","ref4","8557","8831","96"
"5","ref4","7044","7174","95"
"2","ref4","6967","7010","100"
"6","ref4","9777","9923","80"
"2","ref1","1730","1813","97"
"4","ref1","6417","6686","85"
"8","ref3","1767","1834","96"
"8","ref4","7593","7800","100"
"11","ref1","311","492","85"
"5","ref5","6519","6731","85"
"4","ref1","6689","6859","84"
"4","ref5","5285","5461","83"
"3","ref4","9888","10445","100"
"10","ref1","7912","8318","90"
"6","ref1","2065","2140","94"
"5","ref1","4619","4621","100"
"12","ref4","9633","10400","99"
"8","ref1","7011","7065","89"
"8","ref4","7305","7365","81"
"4","ref1","4923","5892","94"
"8","ref1","5108","5235","90"
"10","ref3","1994","2039","94"
"12","ref5","4523","5522","96"
"1","ref2","2293","2316","83"
"12","ref3","1677","1699","91"
