"channel","reference","start","end","identity"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2577","0.9364161849710982"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15276","15756","0.9186991869918699"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2518","2997","0.8955823293172691"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","435","891","0.9191489361702128"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4503","4969","0.893970893970894"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16160","16578","0.9107981220657277"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7322","7798","0.9416666666666667"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","17083","0.945364238410596"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7333","7798","0.9270833333333334"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","870","1349","0.919917864476386"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7795","0.9132231404958677"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","870","1349","0.9422680412371134"
"1","KC242793|1Eko|Gabon|1996","10504","10936","0.9050772626931567"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4577","0.7757009345794392"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5405","5771","0.8763157894736842"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9781","0.9066666666666666"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12466","12927","0.925"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8901","9368","0.9253112033195021"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14968","0.9452631578947368"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8528","8993","0.8690228690228691"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9281","9787","0.8863198458574181"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3713","4167","0.9200863930885529"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","18447","18920","0.9536842105263158"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4887","5359","0.9161554192229039"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14089","14561","0.9137577002053389"
"1","KM519951|Boende-Lokolia|DRC|2014","786","912","0.8931297709923665"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14080","14566","0.8391472868217055"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8922","9351","0.9473684210526315"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3707","4169","0.8702928870292888"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7790","0.8872651356993737"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5322","5779","0.8538135593220338"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","1251","1751","0.8810916179337231"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11653","12145","0.9191321499013807"
"1","KC242793|1Eko|Gabon|1996","2500","2932","0.778021978021978"
