"channel","reference","start","end","identity"
"5","ref2","3365","4148","93"
"10","ref3","1882","2510","99"
"2","ref2","2492","2958","96"
"5","ref4","7403","7717","100"
"5","ref3","1639","1980","89"
"12","ref4","8772","9042","81"
"12","ref4","7520","7542","90"
"7","ref2","2247","3246","89"
"12","ref2","3479","3656","91"
"10","ref3","1864","2036","96"
"5","ref2","3328","3416","80"
"8","ref1","4492","4531","82"
"9","ref3","1579","1901","95"
"1","ref2","2205","2342","97"
"12","ref4","9056","9523","87"
"7","ref3","1610","1652","97"
"3","ref1","3317","3379","86"
"1","ref1","7774","7921","93"
"9","ref1","2618","2650","84"
"7","ref2","3141","3327","94"
"11","ref4","9841","10840","89"
"10","ref2","3642","3676","82"
"1","ref4","8919","9918","84"
"7","ref4","6446","6761","90"
"11","ref5","4633","5054","96"
"9","ref4","7817","7911","99"
"1","ref2","2216","2322","86"
"5","ref1","6183","6273","99"
"2","ref1","5993","6029","83"
"7","ref2","3498","3564","81"
"8","ref1","5591","5789","96"
"5","ref2","2983","3118","84"
"10","ref4","6251","6488","97"
"8","ref3","1923","1977","81"
"6","ref4","6087","6302","83"
"9","ref1","1277","1602","95"
"1","ref3","1784","1817","80"
"4","ref5","4862","4909","88"
"11","ref4","8210","8356","80"
"1","ref1","2398","3122","93"
"5","ref2","3890","4889","87"
"3","ref4","6080","6142","93"
"11","ref1","5876","5959","95"
"10","ref5","5784","6185","94"
"4","ref1","2021","2257","97"
"5","ref1","6329","6497","81"
"2","ref1","3114","3162","87"
"11","ref1","6814","6914","84"
"2","ref2","2292","3291","95"
"11","ref1","4844","5339","86"
"7","ref3","1992","2026","83"
"9","ref3","1708","1730","92"
"7","ref3","1992","2035","99"
"9","ref3","1557","1750","85"
"3","ref1","1807","1919","85"
"7","ref3","1530","1582","87"
"9","ref4","9364","9423","83"
"11","ref1","196","249","84"
"4","ref3","1748","1890","99"
"1","ref4","8979","9104","87"
"4","ref2","2171","2262","88"
"2","ref1","868","1635","83"
"8","ref2","3738","4737","99"
"1","ref5","5644","6643","84"
"6","ref2","3576","4024","96"
"1","ref4","6483","6590","95"
"12","ref1","4988","5023","98"
"11","ref1","807","824","92"
"8","ref1","3116","3382","82"
"8","ref3","1796","1848","91"
"4","ref4","8204","8313","88"
"5","ref3","1656","1695","84"
"7","ref5","6868","7562","99"
"3","ref4","7566","7658","82"
"5","ref2","3362","3647","92"
"4","ref1","2449","2566","81"
"3","ref2","3208","3335","85"
"11","ref4","9934","10028","93"
"6","ref1","6108","6200","98"
"5","ref5","5753","5895","87"
"11","ref3","1557","1606","82"
"8","ref4","8494","8729","98"
"4","ref4","9651","10235","100"
"3","ref1","1984","2127","83"
"11","ref1","2763","2869","82"
"5","ref3","1772","1782","99"
"4","ref4","7283","7394","81"
"5","ref3","1586","1611","81"
"9","ref4","8510","8735","92"
"3","ref5","6677","7135","88"
"6","ref4","9789","9857","95"
"9","ref2","2605","3120","92"
"9","ref4","9244","9511","86"
"3","ref4","9608","9727","88"
"3","ref4","8037","8067","96"
"9","ref1","4716","4843","81"
"2","ref4","9930","10028","94"
"2","ref1","5106","5712","96"
"3","ref4","6808","7802","95"
"1","ref4","7202","8154","89"
"4","ref1","40","120","95"
"2","ref1","2825","2983","91"
"7","ref3","1792","1843","93"
"4","ref2","2865","2947","84"
"7","ref1","1377","1527","82"
"5","ref1","7393","7497","89"
"2","ref1","3702","3726","84"
"12","ref4","6162","6458","89"
"11","ref1","2504","2541","91"
"5","ref2","3488","4487","96"
"6","ref4","8081","8123","88"
"8","ref3","1621","1707","96"
"10","ref1","1183","1223","85"
"4","ref4","6943","7208","84"
"3","ref3","1523","1539","87"
"2","ref3","1773","1793","90"
"1","ref4","9038","9361","93"
"7","ref4","6036","6385","81"
"12","ref1","7381","7402","83"
"6","ref4","7438","7615","99"
"6","ref2","2164","2278","84"
"10","ref2","2760","2888","82"
"11","ref5","4317","4937","96"
"5","ref4","8523","8725","85"
"10","ref4","9310","9364","100"
"12","ref3","1802","1852","98"
"1","ref4","6585","6843","85"
"5","ref1","6417","6537","87"
"2","ref2","2547","3125","82"
"1","ref5","5985","6418","98"
"7","ref4","7617","7788","82"
"7","ref1","1620","1712","90"
"4","ref3","1780","1801","86"
"2","ref3","1790","1796","82"
"12","ref2","3618","3712","98"
"3","ref5","8859","8949","100"
"11","ref1","7957","7972","93"
"3","ref3","1515","1546","89"
"2","ref3","1549","1602","81"
"11","ref2","3009","3959","83"
"1","ref3","1727","1790","95"
"2","ref2","3841","4663","88"
"10","ref1","3103","3163","93"
"8","ref1","4569","4783","80"
"11","ref2","2598","3597","94"
"5","ref5","8952","9500","97"
"5","ref4","7092","7126","91"
"9","ref4","7250","7854","91"
"11","ref4","7304","7350","85"
"12","ref1","4935","5311","97"
"3","ref5","6219","6492","89"
"8","ref1","3823","4398","95"
"8","ref5","4158","4708","88"
"12","ref2","2552","3528","92"
"12","ref2","3444","3695","88"
"4","ref2","3472","3598","97"
"8","ref1","1800","2088","80"
"5","ref1","7562","7885","91"
"12","ref1","35","85","81"
"2","ref4","7705","7745","99"
"12","ref1","6494","6641","86"
"7","ref1","760","923","86"
"2","ref1","4269","4367","80"
"8","ref5","8957","9033","98"
"12","ref1","3496","3618","81"
"3","ref3","1802","1978","80"
"12","ref2","2025","2584","95"
"6","ref5","8718","9080","80"
"6","ref1","3504","3739","85"
"11","ref4","6962","7076","85"
"3","ref4","6048","6442","95"
"10","ref4","7683","7819","91"
"6","ref1","799","829","89"
"6","ref2","3465","3749","97"
"4","ref3","1881","1948","85"
"5","ref1","7554","7707","80"
"1","ref4","8191","8340","85"
"7","ref1","5838","6523","85"
"12","ref2","3054","3142","94"
"5","ref1","6093","6321","94"
"2","ref2","2350","2590","81"
"6","ref1","724","777","80"
"7","ref2","3750","4749","89"
"9","ref1","3413","3439","99"
"11","ref4","6588","6615","97"
"3","ref2","2462","2758","88"
"9","ref4","9542","9816","88"
"11","ref3","1801","1810","98"
"9","ref4","7426","7503","89"
"4","ref4","7048","7084","85"
"12","ref1","5441","5614","89"
"9","ref1","7446","7729","89"
"1","ref4","9225","9399","82"
"12","ref4","9867","9952","98"
"2","ref3","1828","1952","96"
"8","ref3","1933","2111","86"
"1","ref3","1703","1716","83"
"4","ref1","2364","2503","80"
"6","ref1","4320","4397","86"
"10","ref2","2477","3384","82"
"11","ref1","1227","1246","90"
"10","ref2","2388","2649","88"
"5","ref3","1973","2025","97"
"8","ref3","1994","2016","93"
"4","ref2","2103","2679","92"
"2","ref2","3033","3312","86"
"5","ref1","7052","7365","85"
"9","ref1","3069","3202","93"
"10","ref1","2931","3394","92"
"1","ref2","3468","3708","95"
"1","ref1","1493","1525","96"
"11","ref1","923","1097","89"
"4","ref3","1933","1992","88"
"12","ref1","5940","6141","82"
"8","ref2","2869","3051","100"
"7","ref3","1933","1983","86"
"9","ref1","2839","2881","92"
"10","ref4","6821","7018","88"
"9","ref2","2313","2429","88"
"6","ref4","8192","9191","82"
"8","ref5","8639","8919","97"
"10","ref4","9214","10213","90"
"3","ref5","6425","6640","95"
"12","ref1","7350","7784","94"
"1","ref1","6859","6940","100"
"3","ref4","7730","8444","91"
"12","ref4","7612","8148","88"
"4","ref1","6591","6596","89"
"3","ref3","1763","1916","91"
"5","ref3","1949","1982","85"
"11","ref2","2105","2139","90"
"12","ref4","6902","7021","83"
"6","ref2","3199","3874","89"
"5","ref2","2934","3348","92"
"8","ref2","3821","4027","85"
"2","ref3","1639","1701","91"
"5","ref1","6108","6335","89"
"8","ref2","3661","3740","97"
"7","ref1","1546","1849","100"
"7","ref4","9167","9444","94"
"2","ref4","6180","6322","90"
"5","ref3","1889","1908","90"
"3","ref4","6039","6252","92"
"8","ref2","3327","3478","99"
"2","ref1","4117","4198","99"
"8","ref1","1688","1742","93"
"8","ref4","7066","7538","99"
"10","ref2","3565","3853","93"
"3","ref3","1860","1891","83"
"12","ref4","9444","10101","92"
"1","ref3","1798","1893","81"
"5","ref3","1663","1725","82"
"1","ref1","571","663","94"
"12","ref1","2591","2770","86"
"9","ref1","3710","3932","97"
"10","ref1","3985","4018","85"
"8","ref3","1591","1665","91"
"10","ref1","2253","2308","86"
"7","ref1","2169","2245","84"
"3","ref3","1866","1870","100"
"8","ref1","5885","5971","86"
"9","ref1","1782","1993","80"
"9","ref4","6480","6663","97"
"4","ref3","1576","1581","86"
"3","ref4","6818","7817","80"
"4","ref4","9874","10091","83"
"10","ref3","1814","1815","90"
"4","ref3","1852","1857","95"
"3","ref4","6638","7287","82"
"3","ref4","9974","10760","88"
"2","ref4","9656","9997","93"
"12","ref2","2632","3130","82"
"1","ref1","3415","3595","91"
"9","ref3","1847","1918","96"
"2","ref2","3054","3203","86"
"5","ref1","738","851","94"
"10","ref2","2848","3413","100"
"11","ref4","8773","8982","95"
