"channel","reference","start","end","identity"
"2","ref3","1991","2070","83"
"6","ref3","1965","1981","97"
"3","ref3","1934","1986","88"
"10","ref2","2652","3651","83"
"7","ref1","1979","2066","82"
"8","ref2","3513","3746","96"
"3","ref4","7224","7403","81"
"3","ref4","7634","7772","94"
"7","ref4","7110","7194","87"
"7","ref2","3557","3615","89"
"10","ref4","9946","10136","88"
"2","ref4","9488","10481","98"
"7","ref4","7460","7489","84"
"9","ref1","6337","6988","84"
"4","ref2","2572","2824","98"
"12","ref3","1723","1752","94"
"11","ref1","5739","5870","96"
"12","ref1","7013","7076","96"
"1","ref4","8013","8147","98"
"8","ref5","5285","6284","81"
"7","ref4","7374","7500","80"
"12","ref4","8813","8994","89"
"8","ref4","6159","7111","82"
"10","ref5","7354","7912","85"
"8","ref3","1682","1710","82"
"5","ref5","7199","7864","97"
"12","ref3","1712","1749","87"
"11","ref3","1987","2035","86"
"5","ref3","1784","1904","93"
"12","ref1","6923","7373","81"
"8","ref3","1842","1884","95"
"7","ref2","2987","3286","91"
"3","ref4","6395","6897","87"
"7","ref1","1571","1657","97"
"10","ref4","8942","9098","95"
"9","ref1","2676","2701","98"
"10","ref4","6458","7427","84"
"5","ref2","2402","2693","91"
"7","ref1","2510","2925","93"
"4","ref1","4010","4054","88"
"7","ref1","769","808","84"
"7","ref3","1677","1738","81"
"9","ref5","5235","6058","85"
"4","ref3","1874","1935","96"
"6","ref3","1836","1875","98"
"2","ref1","3653","3683","99"
"9","ref1","379","513","81"
"6","ref2","2009","2179","85"
"5","ref4","8609","8682","95"
"10","ref2","3641","4468","80"
"5","ref3","1647","1721","86"
"1","ref3","1710","1737","91"
"2","ref1","7946","7972","89"
"7","ref5","8666","9306","89"
"2","ref2","2752","3568","92"
"12","ref1","4905","5167","85"
"6","ref1","7011","7114","88"
"3","ref4","7839","7918","91"
"9","ref3","1968","2001","80"
"12","ref4","8506","8950","88"
"9","ref4","9618","9715","84"
"2","ref1","3531","3566","90"
"8","ref4","9465","9758","88"
"1","ref4","9830","10366","82"
"7","ref4","7099","7170","82"
"2","ref5","4322","4362","96"
"8","ref1","7112","7176","92"
"10","ref5","8327","8517","84"
"10","ref1","2184","2197","88"
"12","ref2","3766","3803","83"
"7","ref4","8161","8291","91"
"1","ref2","2781","3780","83"
"4","ref5","8983","9673","83"
"12","ref4","9390","9496","96"
"10","ref1","2400","2548","94"
"8","ref4","7054","7254","99"
"10","ref5","5474","6473","94"
"7","ref3","1996","2026","87"
"12","ref4","9849","10033","95"
"12","ref1","80","101","89"
"8","ref2","2661","2732","100"
"6","ref2","3055","3076","90"
"6","ref3","1598","1619","89"
"12","ref1","4891","4935","100"
"8","ref4","6445","7444","84"
"12","ref2","3532","3659","89"
"10","ref2","2464","2871","81"
"8","ref3","1939","1960","99"
"10","ref3","1695","1727","97"
"7","ref1","4044","4078","95"
"10","ref4","8571","8896","82"
"1","ref5","8281","8722","100"
"5","ref4","8799","9789","91"
"7","ref4","8697","8725","85"
"10","ref4","7933","8743","98"
"7","ref5","6117","7116","98"
"11","ref1","3760","4349","85"
"6","ref3","1642","2034","92"
"10","ref3","1965","1981","99"
"1","ref2","2815","3480","80"
"4","ref4","7023","7984","81"
"1","ref1","3384","3456","88"
"7","ref3","1856","1889","81"
"6","ref1","6422","6594","85"
"1","ref1","5673","5735","92"
"5","ref2","3121","3292","83"
"1","ref4","8562","8584","97"
"5","ref2","2501","2612","95"
"7","ref2","2093","2281","86"
"5","ref4","6987","7110","100"
"5","ref1","6412","6464","80"
"12","ref1","705","871","89"
"10","ref1","4037","4222","87"
"1","ref1","5141","5198","96"
"4","ref1","2243","2497","80"
"3","ref1","6362","6429","97"
"6","ref4","7464","7647","95"
"2","ref5","6491","6843","85"
"6","ref4","9274","9381","89"
"3","ref1","3572","3597","82"
"10","ref5","6831","7654","87"
"6","ref3","1925","1970","97"
"3","ref4","9242","9571","80"
"4","ref1","4385","4732","80"
"5","ref3","1596","1760","85"
"2","ref1","3160","3319","91"
"11","ref2","3495","4029","100"
"11","ref3","1984","2005","97"
"4","ref3","1623","1628","99"
"10","ref3","1779","1816","91"
"4","ref5","4183","4751","89"
"3","ref4","6014","6120","85"
"12","ref5","4205","5204","96"
"4","ref1","5300","5421","87"
"12","ref1","7651","7755","97"
"1","ref4","7225","7500","94"
"10","ref3","1590","1607","93"
"3","ref3","1520","1547","90"
"6","ref3","1611","1656","91"
"12","ref3","1545","1626","99"
"4","ref4","7758","7974","96"
"3","ref2","3607","3994","90"
"5","ref3","1726","1751","90"
"8","ref5","4957","5240","92"
"4","ref1","1515","1682","92"
"4","ref4","7014","7033","98"
"10","ref1","6261","6885","89"
"7","ref2","3413","3758","97"
"3","ref2","3669","3979","82"
"7","ref2","2730","3174","86"
"2","ref2","3737","4135","95"
"11","ref2","2009","2044","100"
"11","ref1","4175","4280","87"
"1","ref3","1595","1644","87"
"12","ref3","1909","1960","96"
"9","ref3","1809","1855","92"
"11","ref4","7528","7756","89"
"1","ref1","2946","3227","98"
"4","ref4","7734","7932","81"
"10","ref1","1754","1886","86"
"1","ref3","1503","1530","84"
"4","ref2","3073","3576","95"
