"channel","reference","start","end","identity"
"1","ref2","2536","3162","91"
"10","ref1","5971","6039","99"
"11","ref1","3493","3648","92"
"9","ref3","1660","1695","98"
"2","ref2","2079","2275","92"
"1","ref4","7052","7207","96"
"9","ref3","1712","1893","98"
"11","ref4","8850","9062","90"
"1","ref4","8383","8394","82"
"1","ref2","3158","3218","88"
"9","ref3","1901","1950","88"
"5","ref1","4505","4528","85"
"8","ref1","794","943","82"
"11","ref5","8529","8766","84"
"7","ref2","3906","4442","85"
"1","ref3","1671","1708","81"
"9","ref4","7961","8091","83"
"4","ref5","4082","4858","84"
"7","ref3","1684","1796","91"
"9","ref4","8562","8765","86"
"5","ref1","763","960","83"
"3","ref4","8212","8406","86"
"11","ref5","5135","6134","89"
"10","ref1","6524","6705","91"
"10","ref5","7966","8308","99"
"1","ref1","6597","6613","92"
"10","ref1","1993","2100","89"
"6","ref3","1576","1898","98"
"10","ref2","3214","3372","87"
"12","ref2","2341","2641","88"
"8","ref2","3477","3731","85"
"8","ref4","7756","7985","96"
"1","ref4","6780","7153","100"
"6","ref1","5302","5349","90"
"6","ref4","9927","9990","99"
"10","ref1","3722","3774","91"
"8","ref1","4737","4779","87"
"8","ref2","2336","3335","94"
"11","ref2","3150","3473","97"
"10","ref1","5265","5271","80"
"9","ref5","8242","9241","96"
"12","ref4","8988","9422","94"
"2","ref1","7597","7672","94"
"12","ref3","1520","1585","92"
"2","ref4","8974","9215","95"
"5","ref4","7186","7732","94"
"6","ref1","2818","2917","82"
"1","ref1","2606","2689","99"
"8","ref4","6508","6571","94"
"1","ref2","3053","3597","89"
"4","ref1","3741","3808","92"
"2","ref4","6433","6566","83"
"6","ref2","3613","3822","97"
"10","ref3","1999","2017","88"
"5","ref1","228","246","80"
"12","ref3","1517","1551","93"
"7","ref4","9614","9710","88"
"4","ref1","4176","4213","81"
"10","ref4","9016","9116","92"
"12","ref4","6095","6116","92"
"12","ref1","4030","4070","97"
"1","ref4","7159","7481","87"
"5","ref2","2692","3691","98"
"11","ref2","2977","3234","84"
"11","ref2","3918","4026","94"
"3","ref4","7355","7641","98"
"3","ref4","8142","8323","95"
"11","ref5","4746","4792","92"
"6","ref3","1850","1873","80"
"1","ref2","3678","4677","96"
"3","ref4","8849","9377","81"
