"channel","reference","start","end","identity"
"5","ref1","6394","7017","80"
"5","ref1","460","1036","81"
"6","ref4","6485","6704","83"
"7","ref2","3481","3787","96"
"6","ref2","2447","2669","84"
"12","ref1","1055","1143","86"
"9","ref3","1500","1505","92"
"12","ref1","1551","2201","95"
"4","ref1","7711","8167","88"
"2","ref1","1695","1820","95"
"9","ref4","6324","7184","92"
"10","ref1","4796","5166","95"
"3","ref4","8912","9140","100"
"10","ref3","1861","2588","89"
"1","ref1","4649","4749","97"
"7","ref1","7254","7336","96"
"10","ref5","8747","8952","85"
"1","ref1","1489","1941","96"
"9","ref4","9513","9937","83"
"8","ref2","3239","4238","98"
"7","ref3","1610","1636","88"
"6","ref1","5580","5603","92"
"8","ref5","6101","6515","82"
"7","ref5","8266","8807","89"
"2","ref4","7962","8424","96"
"1","ref1","3282","3552","98"
"2","ref4","6107","6146","80"
"8","ref3","1754","1805","80"
"12","ref4","7223","7391","98"
"10","ref4","8994","9031","98"
"3","ref1","6257","6521","92"
"1","ref4","6230","6557","98"
"9","ref4","8658","8827","88"
"8","ref5","7546","7690","96"
"11","ref4","6735","6787","84"
"12","ref4","8854","9207","80"
"12","ref3","1837","1968","94"
"11","ref3","1575","1624","97"
"5","ref1","2975","3073","87"
"12","ref4","9563","10275","84"
"8","ref1","2444","2541","86"
"8","ref1","3222","3295","86"
"12","ref2","3214","4042","91"
"4","ref4","7268","7343","86"
"3","ref1","2988","3052","86"
"3","ref5","7668","8667","94"
"7","ref4","9740","9766","96"
"11","ref1","7966","7993","97"
"8","ref3","1997","2011","85"
"5","ref1","1480","1541","82"
"7","ref1","1319","1660","99"
"11","ref4","7250","7397","91"
"9","ref3","1909","1940","93"
"1","ref4","7744","8042","90"
"5","ref3","1503","1543","90"
"2","ref2","2542","3541","92"
"3","ref4","6322","6340","80"
"6","ref2","3359","3613","90"
"12","ref1","5510","5544","80"
"8","ref1","144","151","90"
"2","ref3","1547","1588","91"
"3","ref1","2385","2469","87"
"4","ref1","3724","3741","84"
"6","ref4","6708","7101","82"
"7","ref4","9682","10017","91"
"4","ref1","6476","6635","81"
"4","ref3","1729","1865","90"
"11","ref4","9089","9783","85"
"6","ref1","4067","4108","98"
"2","ref5","8582","8697","95"
"6","ref2","2993","3480","80"
"6","ref2","3404","3994","81"
"5","ref1","7190","7362","94"
"3","ref4","7067","7195","100"
"5","ref3","1818","1830","88"
"4","ref1","7288","7452","83"
"3","ref4","8561","8615","84"
"9","ref2","2895","3894","80"
"12","ref4","7238","7631","84"
"3","ref1","5799","5851","98"
"1","ref2","3719","4102","92"
"9","ref5","8943","9942","97"
"8","ref1","790","860","94"
"6","ref3","1741","1792","89"
"7","ref4","9644","9729","93"
"4","ref4","7915","8233","86"
"12","ref3","1576","1626","89"
"4","ref2","3217","3657","100"
"5","ref1","7785","7823","97"
"7","ref3","1878","1934","93"
"7","ref5","5018","5495","100"
"2","ref4","8942","9909","95"
"6","ref3","1997","2056","81"
"10","ref1","2450","2536","84"
"11","ref1","3576","3636","100"
"3","ref2","3044","3144","97"
"1","ref2","3592","3872","97"
"2","ref2","2768","3736","88"
"11","ref2","2135","2180","80"
"3","ref1","6287","6338","86"
"4","ref4","9114","9289","93"
"9","ref3","1599","1814","88"
"11","ref1","1463","1813","88"
"12","ref1","3637","3678","90"
