"channel","reference","start","end","identity"
"12","ref2","3816","4023","87"
"5","ref4","9476","9712","96"
"5","ref4","9480","9872","90"
"11","ref3","1524","1567","100"
"7","ref4","7526","7940","87"
"1","ref2","3354","4353","86"
"1","ref4","8445","8599","100"
"4","ref5","6973","7446","85"
"8","ref2","2461","2608","98"
"2","ref5","8850","9255","89"
"12","ref3","1917","1968","83"
"10","ref3","1811","1851","97"
"6","ref1","7111","7374","91"
"6","ref2","3272","3332","100"
"12","ref2","2494","2670","100"
"4","ref4","6424","6726","98"
"2","ref4","7005","7036","93"
"10","ref5","5679","6543","88"
"10","ref4","7827","8143","88"
"6","ref5","6549","6627","91"
"4","ref4","7620","7734","80"
"7","ref1","1151","1304","84"
"8","ref4","9588","9753","87"
"1","ref1","6771","6853","97"
"1","ref5","7169","7819","81"
"3","ref4","8880","9001","87"
"6","ref3","1574","1628","80"
"7","ref3","1800","1916","83"
"4","ref4","9756","9840","93"
"3","ref1","4942","5041","99"
"10","ref4","7372","7919","96"
"8","ref1","3310","3596","89"
"2","ref1","6655","7041","81"
"7","ref5","5553","6552","90"
"9","ref4","8449","8943","85"
"11","ref5","8029","8149","98"
"12","ref2","3527","4526","85"
"5","ref2","3918","4068","88"
"7","ref1","6580","6673","94"
"1","ref4","8207","8432","80"
"8","ref2","3063","3495","91"
"7","ref2","2671","3248","97"
"1","ref4","9659","10050","91"
"10","ref3","1849","1901","88"
"3","ref1","5402","5631","96"
"5","ref1","5134","5393","88"
"2","ref2","3179","4178","81"
"6","ref1","7256","7526","95"
"3","ref4","7370","8332","90"
"9","ref3","1505","1538","84"
"8","ref1","7820","8048","95"
"3","ref3","2000","2075","84"
"9","ref4","6806","6889","83"
"6","ref4","9935","10033","85"
"3","ref2","2614","2645","82"
"6","ref1","5162","5205","91"
"9","ref1","5235","5386","86"
"9","ref2","2989","3084","91"
"3","ref2","3415","3463","92"
"2","ref1","7976","8130","85"
"9","ref2","2601","2886","86"
"12","ref3","1890","1915","83"
"8","ref5","5794","6793","90"
"9","ref3","1502","1541","89"
"10","ref2","2779","3368","91"
"8","ref2","2360","2848","85"
"8","ref4","6678","6780","80"
"8","ref3","1534","1588","98"
"6","ref5","8791","9437","94"
"12","ref3","1800","1847","85"
"1","ref2","2475","3191","96"
"8","ref2","3552","3950","96"
"4","ref4","6633","6946","84"
"5","ref3","1942","2006","100"
"2","ref1","3767","4766","88"
"4","ref3","1890","1933","83"
"11","ref3","1683","1746","95"
"4","ref3","1700","1881","80"
"8","ref2","2114","3089","84"
"9","ref5","4248","4434","81"
"12","ref3","1903","1922","81"
"5","ref4","9120","9201","86"
"5","ref4","9661","9723","80"
"4","ref3","1822","1872","88"
"1","ref1","362","394","100"
"4","ref4","6028","6087","80"
"10","ref2","3075","4074","100"
"12","ref1","6195","6295","82"
"7","ref3","1590","1611","95"
"2","ref1","1312","1598","97"
"5","ref5","5963","6962","91"
"4","ref3","1894","1963","83"
"3","ref2","3707","4706","87"
"7","ref1","6069","6273","99"
"1","ref4","8836","9275","83"
"4","ref1","1554","1633","96"
"4","ref5","6917","7033","82"
"8","ref2","3957","4339","80"
"4","ref5","6145","6578","98"
"7","ref2","2774","3773","94"
"4","ref3","1661","1669","83"
"7","ref1","5264","5335","86"
"1","ref4","7862","8184","95"
"2","ref4","9928","9974","89"
"7","ref4","6294","6381","84"
"7","ref1","3440","3837","87"
"2","ref1","3084","3108","97"
"7","ref1","2188","2732","82"
"1","ref4","8818","9225","97"
"10","ref4","7812","8081","96"
"11","ref3","1502","1548","87"
"8","ref1","6336","6430","100"
"3","ref3","1900","1974","86"
"4","ref1","445","473","83"
"9","ref4","6647","7149","84"
"8","ref4","6733","6861","93"
"5","ref3","1880","1894","89"
"10","ref5","5690","6564","84"
"7","ref5","8955","9825","91"
"2","ref4","7430","7510","89"
"9","ref4","9328","9386","90"
"4","ref1","3365","3682","82"
"5","ref2","3689","3982","97"
"11","ref4","6043","6158","94"
"3","ref1","5924","6001","96"
"2","ref4","6939","7095","83"
"11","ref4","8384","9108","88"
"6","ref3","1704","1741","87"
"12","ref1","7958","8190","95"
"7","ref4","7783","7885","93"
"9","ref1","5149","5338","89"
"10","ref2","2104","2272","82"
"9","ref1","831","906","82"
"3","ref5","4069","4400","83"
"10","ref3","1672","1842","93"
"1","ref2","3705","3722","98"
"6","ref5","5624","5707","81"
"1","ref4","6140","7139","80"
"12","ref1","5237","5440","95"
"7","ref4","7930","8101","99"
"9","ref5","8571","8766","91"
"1","ref1","4827","4866","100"
"4","ref1","3778","3873","94"
"7","ref5","5405","5625","90"
"6","ref4","9503","9588","84"
"4","ref1","3890","4004","98"
"11","ref1","5926","5928","89"
"12","ref4","7727","7781","84"
"9","ref4","6332","6422","84"
"2","ref5","5920","6114","95"
"10","ref4","7927","8162","99"
"8","ref3","1654","1685","100"
"5","ref3","1554","1618","95"
"8","ref1","1909","2017","89"
"6","ref1","2785","2872","95"
"3","ref2","3062","3141","84"
"9","ref2","2759","3490","92"
"1","ref2","3986","4305","80"
"3","ref3","1578","1860","99"
"9","ref2","2818","3292","89"
"1","ref2","3813","3888","87"
"9","ref3","1890","2049","83"
"2","ref4","7636","7801","97"
"8","ref4","7436","7818","92"
"12","ref1","7553","7593","99"
"6","ref3","1926","1945","84"
"6","ref2","3267","3659","94"
"4","ref3","1755","1871","93"
"6","ref2","2833","3405","100"
"12","ref5","7338","8254","82"
"10","ref5","5308","5473","92"
"12","ref2","3655","4532","89"
"9","ref3","1678","1766","96"
"2","ref2","2131","2347","98"
"11","ref1","7950","8002","100"
"3","ref3","1834","1841","98"
"7","ref1","5105","5124","89"
"7","ref2","3888","4384","80"
"7","ref3","1582","1741","96"
"1","ref4","6361","6814","96"
"8","ref2","3908","3939","82"
"2","ref2","3715","3951","98"
"5","ref1","4029","4060","96"
"6","ref5","6118","7117","84"
"3","ref1","68","253","80"
"9","ref2","2093","3092","90"
"2","ref1","5926","6585","81"
"10","ref1","5907","5942","97"
"11","ref4","7391","7450","97"
"9","ref4","8870","8887","86"
"7","ref2","2516","2956","97"
"6","ref4","7896","7915","92"
"5","ref2","2516","2725","99"
"11","ref4","9095","9218","93"
"1","ref4","7172","7784","88"
"4","ref3","1771","1866","88"
"9","ref4","9054","9315","97"
"7","ref2","2441","2596","84"
"12","ref3","1592","1947","99"
"11","ref5","6469","7445","80"
"4","ref1","4055","4313","83"
"2","ref3","1642","1871","82"
"1","ref1","6487","6668","89"
"11","ref1","140","307","83"
"12","ref2","2485","3350","95"
"12","ref4","7408","7465","91"
"9","ref3","1880","1900","92"
"12","ref4","6895","7055","98"
"11","ref1","4736","4870","90"
"12","ref3","1641","1695","93"
"3","ref5","8737","8826","90"
"2","ref4","7720","8017","90"
"5","ref1","5161","5209","82"
"2","ref3","1962","1981","83"
"3","ref5","5884","6214","97"
"9","ref1","7567","7663","84"
"2","ref5","6329","6456","84"
"10","ref1","3688","3698","96"
"6","ref1","6306","6415","98"
"11","ref3","1909","2019","80"
"5","ref4","8074","8138","93"
"4","ref4","6671","7664","99"
"3","ref2","3752","4144","84"
"7","ref4","7569","7991","94"
"2","ref1","2519","2591","91"
"7","ref4","9675","10220","95"
"8","ref5","4259","5258","83"
"6","ref4","8704","8769","86"
"12","ref3","1974","1992","80"
"7","ref1","4891","4993","81"
"10","ref3","1877","1914","82"
"2","ref1","3258","3310","90"
"2","ref2","3916","4021","85"
"5","ref4","7611","7714","91"
"3","ref5","7073","7367","99"
"4","ref2","3923","4922","100"
"9","ref1","7561","7618","91"
"2","ref1","857","895","88"
"10","ref2","2785","3148","91"
"12","ref5","5683","5746","81"
"9","ref1","3488","3573","86"
"8","ref4","8488","8767","82"
"7","ref1","6234","6378","94"
"3","ref3","1873","1908","97"
"7","ref1","1075","1083","91"
"2","ref1","1265","1453","89"
"1","ref1","1839","1929","91"
"6","ref4","8504","8722","100"
"8","ref1","6209","6222","93"
"10","ref1","4407","4572","80"
"8","ref1","2972","2997","96"
"5","ref3","1521","1541","93"
"1","ref4","7117","7204","90"
"9","ref2","2645","2981","90"
"8","ref1","7579","7609","95"
"11","ref5","4698","4836","96"
"12","ref3","1621","1753","99"
"9","ref5","4058","4358","81"
"3","ref1","5617","6007","81"
"4","ref2","2140","2283","84"
"5","ref1","3791","3919","88"
"10","ref3","1617","1706","83"
"10","ref5","8352","8865","87"
"9","ref3","1775","1831","89"
"2","ref3","1529","1551","88"
"7","ref4","6874","6954","92"
"9","ref2","2294","2444","97"
"1","ref4","9881","9994","86"
"6","ref4","8854","9099","93"
"11","ref3","1833","1901","96"
"12","ref4","9169","9264","91"
"7","ref1","1169","1449","95"
"3","ref2","3022","3251","98"
"10","ref3","1883","1987","91"
"3","ref3","1879","1906","81"
"9","ref1","4900","4994","81"
"9","ref5","6273","6579","81"
"8","ref4","6624","6911","88"
"8","ref1","4194","4691","83"
"8","ref4","7588","7668","93"
"3","ref4","6037","6253","96"
"1","ref3","1607","1712","96"
"5","ref1","2770","2999","81"
"8","ref4","6716","6902","96"
"6","ref3","1795","1936","94"
"12","ref5","5843","6390","80"
"5","ref2","3028","3144","80"
"5","ref3","1622","1657","100"
"3","ref2","2029","2094","88"
"11","ref1","3951","4216","86"
"12","ref2","3886","3970","91"
"2","ref4","7550","8472","89"
"7","ref4","8825","8853","97"
"5","ref4","6382","6604","89"
"1","ref2","2995","3151","83"
"12","ref1","1449","1543","90"
"7","ref2","3551","3764","98"
"2","ref1","6463","6566","81"
"11","ref1","6830","6848","80"
"2","ref3","1997","2026","91"
"1","ref4","9630","9846","98"
"5","ref1","7155","7209","85"
"8","ref1","7098","7878","100"
"1","ref3","1692","1694","81"
"1","ref4","9419","9606","88"
"12","ref3","1580","1656","92"
"3","ref1","2772","2839","84"
"6","ref4","9932","9980","90"
"8","ref1","3319","3595","83"
"8","ref1","2584","3583","96"
"3","ref4","8875","9017","88"
"8","ref5","7281","7718","99"
"11","ref2","3338","3826","89"
"12","ref3","1787","1990","98"
"6","ref4","8629","8686","83"
"3","ref4","6312","6560","100"
"1","ref2","2112","2441","96"
"5","ref3","1585","1684","100"
"4","ref4","8298","8567","94"
"2","ref5","4861","5055","86"
"11","ref2","3516","3971","88"
"5","ref2","3726","4725","97"
"7","ref4","7448","7477","98"
"3","ref4","7422","8421","93"
"4","ref1","5176","5840","82"
"7","ref1","2729","2822","90"
"10","ref4","9177","9336","86"
"11","ref1","7018","7035","100"
"10","ref1","5835","5887","81"
"10","ref5","4286","5252","81"
"12","ref1","7611","7722","92"
"6","ref2","3446","3515","88"
"7","ref5","8654","8889","95"
"11","ref5","4618","4982","84"
"10","ref4","8245","8286","89"
"7","ref1","3569","3746","99"
"2","ref1","1287","1488","87"
"3","ref4","8352","8662","85"
"3","ref4","8715","8986","82"
"1","ref1","3473","3503","95"
"9","ref3","1526","1609","91"
"10","ref3","1749","1762","86"
"10","ref4","8416","8465","93"
"6","ref1","3315","3342","97"
"1","ref4","6538","6813","89"
"11","ref3","1705","1708","100"
"11","ref2","3113","3146","83"
"11","ref3","1848","1953","92"
"7","ref1","424","494","90"
"4","ref2","3576","3718","95"
"11","ref4","7202","7675","93"
"12","ref4","8580","9434","80"
"7","ref3","1901","1922","83"
"2","ref3","1957","2048","91"
"3","ref1","2428","2760","88"
"5","ref4","6168","6277","93"
"8","ref3","1962","1985","91"
"8","ref3","1855","1884","81"
"11","ref4","7322","7605","98"
"5","ref1","3117","3205","95"
"2","ref4","7741","8528","90"
"4","ref3","1739","1771","86"
"2","ref2","2805","3008","94"
"1","ref1","7829","7874","91"
"5","ref4","8315","8365","82"
"11","ref3","1821","1978","96"
"11","ref4","9920","10171","85"
"9","ref4","8682","9681","82"
"5","ref1","5665","5688","92"
"11","ref2","2700","2998","85"
"3","ref3","1956","2487","97"
"3","ref2","2174","3173","100"
"7","ref5","5656","5683","91"
"9","ref4","6540","6812","95"
"9","ref1","1961","1972","90"
"10","ref1","5103","5178","82"
