"channel","reference","start","end","identity"
"3","KC242784|9_Luebo|DRC|2007","8526","8993","0.9205020920502092"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","860","1341","0.9186991869918699"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4577","0.8891050583657587"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15290","15768","0.9089068825910931"
"3","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9757","0.9206349206349206"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1699","2163","0.9367088607594937"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","7005","0.9216494845360824"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7786","0.9201680672268907"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10498","10967","0.9049586776859504"
"1","KC242793|1Eko|Gabon|1996","7348","7759","0.8618266978922716"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","448","929","0.9548254620123203"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","10489","10958","0.939203354297694"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","8528","8993","0.9240506329113924"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7143","7382","0.8765432098765432"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","13669","14136","0.9538784067085954"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","13684","14152","0.9240506329113924"
"2","KC242792|Gabon|Gabon|1994","8526","8987","0.9294871794871795"
"2","KC242792|Gabon|Gabon|1994","10499","10967","0.923728813559322"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","4074","4566","0.9206349206349206"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","9279","9787","0.9473684210526315"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","4871","5355","0.8988095238095238"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","434","1341","0.9083063646170443"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","1251","1747","0.8960784313725491"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","8901","9368","0.9161425576519916"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7328","7790","0.9133192389006343"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7327","7786","0.8521560574948666"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","448","915","0.9288702928870293"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","9283","9787","0.9344894026974951"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7327","7786","0.9252136752136753"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","434","914","0.9532520325203252"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","8911","9368","0.9376344086021505"
"3","KC242792|Gabon|Gabon|1994","1687","1817","0.9064748201438849"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16105","16578","0.9519832985386222"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","879","1349","0.8773006134969326"
