"channel","reference","start","end","identity"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10501","10967","0.9203354297693921"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4583","0.9591439688715954"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3694","4158","0.9287211740041929"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.9197651663405088"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5779","0.9426877470355731"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7354","7781","0.8606741573033708"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12845","13327","0.9183673469387755"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5294","5779","0.922"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13680","14155","0.9219712525667351"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.905511811023622"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12479","12942","0.9721627408993576"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5342","0.9090909090909091"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","881","1347","0.8739669421487604"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5776","0.9001956947162426"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","862","1338","0.875"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16960","0.957983193277311"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","435","929","0.9389763779527559"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3705","4167","0.9089026915113871"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11652","12145","0.9268774703557312"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14084","14559","0.9278350515463918"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4586","0.9315589353612167"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16892","17073","0.9210526315789473"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.8077669902912621"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","863","1341","0.9107505070993914"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1770","1979","0.9302325581395349"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9357","0.9098360655737705"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7786","0.9071729957805907"
"1","KC242792|Gabon|Gabon|1994","10503","10964","0.8945147679324894"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5379","5779","0.8661971830985915"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13676","14144","0.9201680672268907"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1751","0.9161793372319688"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5350","0.907258064516129"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13327","0.929718875502008"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16906","17104","0.9494949494949495"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9787","0.9016697588126159"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4087","4588","0.9320388349514563"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5291","5779","0.8958742632612967"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9154929577464789"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.9405940594059405"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.9163265306122449"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5735","0.9331896551724138"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15305","15750","0.9152173913043479"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8543","8973","0.8507795100222717"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6997","0.9262295081967213"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14503","14973","0.7422037422037422"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8523","8993","0.9096509240246407"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4082","4586","0.9280155642023347"
"1","KM519951|Boende-Lokolia|DRC|2014","10367","10572","0.9326923076923077"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9357","0.9237113402061856"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9269","9699","0.8571428571428571"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2153","0.9083333333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.8725099601593626"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9780","0.9193857965451055"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9103585657370518"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9295238095238095"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8515","8980","0.9205020920502092"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1264","1762","0.9487179487179487"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2571","0.9129593810444874"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","438","890","0.9288793103448276"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14554","0.96875"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10502","10967","0.9276859504132231"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15708","16168","0.9250535331905781"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14118","14566","0.8925438596491229"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","440","919","0.9241803278688525"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.8800813008130082"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2577","0.9123134328358209"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4886","5362","0.8931451612903226"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3698","4130","0.9280898876404494"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5352","0.9074446680080482"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2571","0.9011406844106464"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4084","4588","0.9509803921568627"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3706","4167","0.9081196581196581"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5779","0.9387351778656127"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8515","8842","0.880466472303207"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13898","14566","0.8960468521229868"
"1","KC242793|1Eko|Gabon|1996","10499","10967","0.9394572025052192"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4893","5363","0.9373695198329853"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7785","0.8480492813141683"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14084","14566","0.9255533199195171"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16107","16570","0.9269311064718163"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4545","0.8627858627858628"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5366","0.8932806324110671"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.8877952755905512"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16108","16566","0.9240506329113924"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","914","0.9090909090909091"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9004","9368","0.904"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7785","0.8972746331236897"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5292","5779","0.9436619718309859"
"1","KC242792|Gabon|Gabon|1994","878","1347","0.872651356993737"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16959","0.841995841995842"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11650","12132","0.9131313131313131"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5352","0.9016393442622951"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16095","16568","0.8879837067209776"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2153","0.9429175475687104"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7798","0.8934426229508197"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.944672131147541"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11669","12058","0.8894348894348895"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10504","10963","0.9224318658280922"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9353535353535354"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1741","0.9513184584178499"
