"channel","reference","start","end","identity"
"4","ref1","800","857","90"
"3","ref2","3299","3422","83"
"11","ref4","9465","9779","84"
"8","ref4","8928","9061","89"
"1","ref4","6573","6700","95"
"8","ref1","6171","6463","93"
"8","ref5","7151","8150","81"
"4","ref4","8413","8534","80"
"7","ref2","3912","3980","81"
"7","ref2","3635","4341","80"
"7","ref1","1531","1652","84"
"3","ref4","7307","7367","94"
"5","ref1","51","129","92"
"11","ref5","4768","5767","92"
"2","ref4","8546","9545","87"
"10","ref2","3583","3789","100"
"6","ref2","2021","2174","91"
"5","ref4","8150","8312","81"
"6","ref1","2791","3063","84"
"11","ref4","8777","8918","81"
"2","ref3","1857","1909","96"
"4","ref4","9475","9983","82"
"9","ref4","6976","7029","80"
"1","ref4","9338","9653","97"
"10","ref1","7078","7211","89"
"2","ref4","7518","7632","99"
"4","ref3","1514","1609","91"
"5","ref3","1837","1871","82"
"2","ref3","1536","1609","92"
"3","ref1","6794","6847","99"
"7","ref1","172","204","81"
"8","ref4","9963","10395","94"
"8","ref4","9166","10165","98"
"11","ref1","7597","7668","94"
"6","ref1","7192","7349","88"
"9","ref1","4250","4351","85"
"2","ref1","1866","1951","86"
"5","ref4","7740","8281","94"
"12","ref3","1557","1572","98"
"9","ref1","2033","2065","100"
"12","ref2","2249","3103","94"
"9","ref2","3038","3219","82"
"12","ref2","3557","3857","93"
"11","ref1","5075","5453","96"
"8","ref5","4426","4999","82"
"3","ref2","3857","4553","85"
"6","ref3","1959","1975","84"
"1","ref1","5627","6016","84"
"8","ref5","6115","7114","94"
"4","ref4","7487","7526","100"
"5","ref1","120","262","80"
"10","ref1","796","811","95"
"1","ref2","2739","3113","91"
"2","ref4","6155","6355","80"
"4","ref3","1776","1818","84"
"4","ref1","5895","6031","88"
"4","ref1","4255","4296","96"
"8","ref4","8917","9135","95"
"5","ref4","9072","9258","94"
"1","ref5","5081","5280","80"
"4","ref3","1607","1621","86"
"4","ref3","1524","1721","87"
"4","ref1","2724","2945","99"
"11","ref1","3637","3718","98"
"2","ref1","5603","5619","88"
"7","ref1","4502","4522","88"
"2","ref1","3454","3477","93"
"6","ref2","2754","2814","87"
"1","ref1","3924","4040","85"
"10","ref5","5122","5186","88"
"10","ref4","8697","9142","81"
"5","ref1","3511","3574","85"
"8","ref2","3885","3964","98"
"12","ref2","2747","3056","90"
"3","ref5","7797","8796","95"
"3","ref1","1156","1242","93"
"2","ref2","2113","2174","81"
"9","ref3","1713","1751","87"
"6","ref4","7909","7940","91"
"6","ref1","2613","2990","100"
"9","ref1","298","537","82"
"4","ref2","2888","3076","99"
"2","ref2","2588","2674","85"
"7","ref4","8260","8378","96"
"7","ref2","3846","4527","89"
"4","ref5","5546","5758","92"
"11","ref3","1505","1532","88"
"3","ref1","1192","1310","91"
"9","ref5","4170","4588","95"
"3","ref3","1516","1597","92"
"9","ref1","3233","3250","88"
"3","ref2","2956","3376","95"
"4","ref3","1559","1696","94"
"12","ref2","2518","2831","80"
"7","ref1","2980","3104","89"
"9","ref1","2065","2111","93"
"4","ref5","4990","5878","81"
"2","ref2","3209","3378","100"
"3","ref2","3830","4106","100"
"5","ref4","7581","7869","87"
"9","ref4","8151","8433","88"
"1","ref1","3845","4844","96"
"1","ref2","3510","4034","98"
"11","ref5","7866","8865","86"
"1","ref4","7822","8000","96"
"11","ref1","3308","3449","92"
"1","ref2","3256","3432","84"
"7","ref4","8523","8684","89"
"12","ref1","3595","3727","90"
"1","ref3","1965","2008","100"
"7","ref4","9690","9884","98"
"12","ref3","1886","2004","80"
"7","ref2","2061","2273","94"
"8","ref3","1696","1738","96"
"9","ref2","3254","3457","82"
"7","ref4","8609","8672","89"
"9","ref2","2002","2838","90"
"11","ref5","7539","7707","91"
"6","ref1","2373","3036","92"
"9","ref2","2201","2374","93"
"6","ref1","7405","7495","81"
"10","ref1","4538","4649","94"
"4","ref1","515","599","80"
"8","ref1","3124","3241","95"
"1","ref4","8886","8937","97"
"9","ref1","70","141","88"
"12","ref3","1772","1883","81"
"6","ref3","1515","1559","91"
"3","ref2","3631","3792","93"
"3","ref4","7236","7368","92"
"6","ref4","7493","7547","97"
"7","ref2","2475","2548","92"
"9","ref2","2784","3783","88"
"10","ref4","8691","8835","81"
"12","ref4","8883","8940","86"
"2","ref2","3494","4329","98"
"1","ref5","8541","8840","97"
"8","ref2","2785","2887","97"
"6","ref3","1517","1544","90"
"3","ref1","6525","6579","92"
"2","ref4","8688","8860","87"
"1","ref2","2525","3074","99"
"8","ref4","8544","8693","96"
"7","ref2","2527","2715","98"
"5","ref4","6930","7026","80"
"4","ref3","1975","2048","89"
"8","ref3","1854","2008","80"
"1","ref3","1670","1674","92"
"1","ref1","3180","3221","99"
"12","ref3","1656","1692","93"
"11","ref1","4499","4548","82"
"2","ref4","7360","7411","88"
"5","ref1","3035","3053","97"
"4","ref2","3346","3581","93"
"4","ref4","7271","7483","97"
"7","ref3","1848","1855","81"
"7","ref2","2899","3898","88"
"10","ref1","4614","4697","97"
"7","ref3","1931","2116","82"
"11","ref4","6152","6246","99"
"6","ref1","2139","2227","86"
"8","ref2","2310","2434","98"
"1","ref1","6231","6307","100"
"10","ref4","9186","9262","95"
"5","ref5","8969","9968","98"
"9","ref2","3941","4301","82"
"1","ref4","9708","10003","92"
"6","ref4","6004","7003","95"
"9","ref2","3402","3663","96"
"7","ref5","7694","8026","88"
"4","ref2","2893","3892","95"
"11","ref4","9109","9317","87"
"9","ref3","1965","1989","98"
"5","ref4","6625","6667","84"
"1","ref3","1774","1790","99"
"12","ref1","1072","1137","88"
"4","ref2","2947","3070","98"
"1","ref4","7800","8025","88"
"3","ref5","5865","6864","99"
"8","ref1","6689","6900","89"
"3","ref1","6543","7173","81"
"8","ref2","3960","4029","83"
"10","ref2","3618","3850","91"
"6","ref1","7080","7124","91"
"10","ref5","5157","5784","96"
"11","ref3","1871","1887","86"
"1","ref3","1655","1860","96"
"1","ref4","9242","9308","96"
"8","ref1","4571","4625","98"
"3","ref1","4215","4342","97"
"11","ref2","3340","3379","82"
"4","ref3","1538","1601","95"
"9","ref4","9377","9501","82"
"3","ref2","3752","4354","89"
"9","ref1","5778","6349","81"
"6","ref3","1711","1919","93"
"7","ref1","1987","2141","89"
"7","ref1","165","322","86"
"10","ref2","2200","2472","87"
"1","ref5","4729","5422","81"
"3","ref1","2856","3295","88"
"11","ref2","2249","2403","82"
"4","ref3","1636","1654","90"
"5","ref5","4214","4511","92"
"7","ref1","6790","6866","87"
"5","ref5","6004","6354","99"
"5","ref3","1633","1643","90"
"9","ref2","3497","3705","90"
"7","ref4","6294","7293","92"
"11","ref2","3912","4771","97"
"8","ref2","3401","3518","92"
"9","ref4","7353","7777","80"
"2","ref3","1621","1711","82"
"7","ref5","7050","8006","91"
"7","ref2","2488","3014","97"
"1","ref1","568","1291","95"
"12","ref2","3777","4776","91"
"3","ref1","409","447","93"
"7","ref3","1993","2059","86"
"11","ref1","1503","1667","100"
"11","ref3","1879","1985","96"
