"channel","reference","start","end","identity"
"1","KM519951|Boende-Lokolia|DRC|2014","7322","7791","0.8985200845665962"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.926829268292683"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4493","4968","0.9222903885480572"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","444","920","0.9072164948453608"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1752","0.8606403013182674"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2151","0.913135593220339"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8526","8993","0.9433962264150944"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16107","16570","0.9721030042918455"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9350","9787","0.8872017353579176"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9389002036659878"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16967","0.8594377510040161"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16954","0.9351464435146444"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9750","10175","0.9534883720930233"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9775","0.8759541984732825"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4556","0.8505050505050505"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1744","0.9209486166007905"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4579","0.921875"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12878","13310","0.9002217294900222"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.9389763779527559"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7798","0.9315352697095436"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9762","0.8917322834645669"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5289","5779","0.9448818897637795"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4892","5359","0.8571428571428571"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9787","0.8442367601246106"
"1","KC242792|Gabon|Gabon|1994","877","1328","0.8559322033898306"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5351","0.7914110429447853"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2518","2997","0.9772727272727273"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3694","4156","0.9468085106382979"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3694","4167","0.8742268041237113"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9362","0.9397089397089398"
"1","KC242784|9_Luebo|DRC|2007","8527","8993","0.8708333333333333"
