"channel","reference","start","end","identity"
"9","ref2","2662","2899","80"
"9","ref3","1973","2006","90"
"5","ref1","7254","7288","88"
"4","ref2","3655","4202","85"
"4","ref4","7491","7678","84"
"4","ref1","2468","2526","98"
"6","ref1","7516","7586","84"
"4","ref4","9199","9404","89"
"12","ref3","1646","1668","93"
"2","ref1","6441","6457","97"
"1","ref1","5745","6288","83"
"4","ref5","8392","8730","89"
"12","ref2","3639","3700","81"
"7","ref5","5906","6177","91"
"11","ref4","8868","9178","90"
"4","ref2","3139","3304","98"
"8","ref3","1734","1759","81"
"1","ref4","6256","6432","93"
"8","ref3","1763","1796","87"
"1","ref4","6126","6620","81"
"10","ref1","5109","5288","95"
"11","ref2","3961","4116","99"
"10","ref3","1748","1781","93"
"7","ref3","1966","2002","84"
"2","ref4","9281","9328","86"
"5","ref2","2800","3744","83"
"3","ref3","1523","1570","84"
"4","ref1","5001","5091","89"
"1","ref4","8096","8239","85"
"1","ref1","5392","5719","92"
"2","ref1","3488","3595","92"
"12","ref1","894","1094","87"
"11","ref4","7705","7884","81"
"4","ref5","7917","8131","84"
"11","ref4","8327","8920","86"
"6","ref2","3101","3266","99"
"6","ref4","6820","6874","90"
"5","ref5","4769","5198","86"
"4","ref4","9260","9451","83"
"7","ref1","6943","7049","99"
"3","ref3","1703","1904","82"
"9","ref2","2059","2643","87"
"10","ref3","1532","1542","92"
"8","ref1","4212","4274","86"
"10","ref2","2908","3124","85"
"7","ref5","8601","9600","82"
"8","ref1","4127","4342","91"
"4","ref2","3425","3482","90"
"2","ref4","9202","9677","85"
"12","ref1","6257","6587","89"
"3","ref2","2577","2948","98"
"1","ref4","6722","6741","81"
"10","ref3","1513","1536","99"
"7","ref1","7863","8106","87"
"10","ref4","8581","8916","100"
"12","ref4","8978","9343","99"
"2","ref4","7500","7581","85"
"2","ref1","1595","2277","87"
"2","ref2","3399","4398","97"
"7","ref3","1678","1788","92"
"4","ref2","2886","3288","83"
"1","ref1","75","1074","92"
"8","ref5","8599","9598","84"
"8","ref4","7961","8500","96"
"7","ref1","1549","1684","91"
"11","ref2","3553","4109","80"
"10","ref3","1525","1661","81"
"5","ref1","1480","1615","97"
"9","ref4","7161","7309","86"
"5","ref4","7273","7840","90"
"6","ref2","2785","3157","95"
"9","ref5","4171","5170","99"
"8","ref2","2943","3942","91"
"7","ref4","9999","10389","94"
"10","ref1","179","439","93"
"4","ref3","1969","2024","84"
"4","ref4","6139","6219","83"
"5","ref2","3830","4049","84"
"4","ref2","3519","4518","87"
"3","ref2","2120","3119","91"
"10","ref1","7929","8169","83"
"7","ref1","6846","7061","83"
"4","ref4","6185","6434","89"
"10","ref1","2051","2102","87"
"7","ref2","3904","4277","99"
"4","ref2","2915","3283","83"
"4","ref4","7028","8027","88"
"7","ref2","2249","2579","91"
"12","ref2","2335","2776","99"
"2","ref1","1439","1852","96"
"10","ref4","8476","9160","92"
"6","ref1","3925","3993","98"
"1","ref1","2972","3131","100"
"4","ref2","3473","3525","83"
"9","ref3","1787","1849","80"
"12","ref4","8696","8971","93"
"1","ref2","2543","2702","94"
"12","ref1","1329","1477","92"
"7","ref4","8200","8241","83"
"3","ref1","1438","1618","80"
"10","ref4","9177","9343","93"
"3","ref4","9966","10008","93"
"10","ref1","6411","6567","97"
"9","ref1","4727","4771","100"
"11","ref2","2153","2289","81"
"10","ref4","6082","6384","90"
"6","ref5","5525","5979","89"
"3","ref3","1725","1789","94"
"6","ref2","3234","3910","95"
"8","ref3","1995","2094","80"
"6","ref1","7154","7176","85"
"5","ref4","9877","10033","100"
"2","ref3","1999","2060","81"
"5","ref4","6171","6818","86"
"8","ref4","7333","7673","94"
"11","ref1","3075","3139","80"
"4","ref2","3012","3136","84"
"1","ref2","2483","3031","99"
"10","ref5","7426","7859","80"
"2","ref1","724","1051","93"
"11","ref5","7040","7168","93"
"12","ref4","7777","7830","93"
"11","ref4","6017","6256","98"
