"channel","reference","start","end","identity"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9355","0.9397089397089398"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7784","0.9327731092436975"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2147","0.9207708779443254"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10238","10572","0.8825214899713467"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8901","9368","0.9041666666666667"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.8966861598440545"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13327","0.9557344064386318"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14556","0.9366053169734151"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16900","17187","0.972318339100346"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14085","14566","0.9129554655870445"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10504","10967","0.9464668094218416"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1752","0.9060665362035225"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7766","0.8854625550660793"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13762","14155","0.9172749391727494"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13668","14155","0.9047619047619048"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13681","14566","0.895947426067908"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6541","7008","0.8405797101449275"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7785","0.8997912317327766"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4589","0.8533834586466166"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17714","18192","0.9148073022312373"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5758","0.9223946784922394"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11656","12116","0.9063829787234042"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7788","0.9102296450939458"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5303","5779","0.8981670061099797"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","865","1337","0.9442148760330579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5292","5779","0.9571428571428572"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9348268839103869"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","860","1349","0.9224652087475149"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4587","0.9224952741020794"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12845","13333","0.9288537549407114"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7785","0.8702127659574468"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","10543","10967","0.8984198645598194"
"1","KF113528|Kelle_1|DRC|2003","13668","14154","0.9417670682730924"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14077","14560","0.8638211382113821"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9282786885245902"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1698","2166","0.8872950819672131"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","862","1348","0.8884462151394422"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16971","0.9318181818181818"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9787","0.9397363465160076"
"1","KC242792|Gabon|Gabon|1994","10503","10967","0.9341825902335457"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9368","0.9493670886075949"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10503","10967","0.9596602972399151"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16959","0.919831223628692"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.8948412698412699"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12477","12942","0.9168399168399168"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16903","17366","0.9426751592356688"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6526","6984","0.9323144104803494"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14491","14959","0.9079497907949791"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2516","2997","0.9054325955734407"
"1","KC242793|1Eko|Gabon|1996","1252","1752","0.9268774703557312"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9254302103250478"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8526","8993","0.8640973630831643"
